Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,3.67,3.87,3.9,3.65,174.70M,-4.68%
08/08/2023,3.85,3.95,4.04,3.82,275.12M,-2.53%
08/07/2023,3.95,3.79,3.95,3.78,233.70M,5.90%
08/06/2023,3.73,3.64,3.75,3.63,196.71M,4.48%
08/03/2023,3.57,3.48,3.66,3.46,241.66M,2.00%
08/02/2023,3.5,3.49,3.74,3.43,393.24M,2.04%
08/01/2023,3.43,3.14,3.43,3.13,233.94M,9.94%
07/31/2023,3.12,3.04,3.12,2.99,141.65M,3.65%
07/30/2023,3.01,3.2,3.28,2.95,234.68M,-4.14%
07/27/2023,3.14,2.62,3.35,2.38,454.89M,5.72%
07/26/2023,2.97,3.4,3.46,2.96,24.39M,-19.51%
07/25/2023,3.69,3.9,4.03,3.57,35.87M,-5.38%
07/24/2023,3.9,4.28,4.3,3.9,36.26M,-9.30%
07/19/2023,4.3,4.1,4.61,4.08,71.67M,5.65%
07/18/2023,4.07,4.18,4.2,4.04,22.96M,-2.40%
07/17/2023,4.17,3.97,4.19,3.81,26.42M,4.51%
07/16/2023,3.99,4.11,4.14,3.9,13.95M,-2.68%
07/13/2023,4.1,4.1,4.17,4.05,17.82M,0.49%
07/12/2023,4.08,4.14,4.3,4.05,23.05M,0.99%
07/11/2023,4.04,4.05,4.24,3.99,31.25M,1.51%
07/10/2023,3.98,3.32,3.98,3.21,22.89M,18.81%
07/09/2023,3.35,4.21,4.21,3.35,23.45M,-19.86%
07/06/2023,4.18,4.6,4.65,4.15,36.10M,-7.52%
07/05/2023,4.52,4.14,4.54,4.07,35.40M,10.24%
07/04/2023,4.1,4.36,4.4,4.07,23.89M,-2.84%
06/26/2023,4.22,4.1,4.26,3.98,28.95M,4.98%
06/25/2023,4.02,4.19,4.26,3.97,17.35M,-2.66%
06/22/2023,4.13,4.4,4.52,3.95,34.75M,-5.06%
06/21/2023,4.35,4.6,4.9,4.34,39.59M,-4.61%
06/20/2023,4.56,4.06,4.7,3.98,42.68M,12.32%
06/19/2023,4.06,4.09,4.23,3.92,29.39M,1.75%
06/18/2023,3.99,3.6,3.99,3.53,24.77M,11.76%
06/15/2023,3.57,3.85,3.86,3.48,24.72M,-6.54%
06/14/2023,3.82,4.14,4.25,3.67,26.44M,-4.50%
06/13/2023,4.0,4.08,4.32,3.67,25.71M,-2.91%
06/12/2023,4.12,4.7,4.7,4.12,9.39M,-10.63%
06/11/2023,4.61,4.94,5.16,4.51,24.26M,-4.36%
06/08/2023,4.82,5.19,5.5,4.3,35.73M,1.26%
06/07/2023,4.76,4.1,4.76,3.98,38.79M,19.90%
06/06/2023,3.97,3.51,3.97,3.28,38.43M,19.94%
06/05/2023,3.31,3.0,3.31,3.0,13.06M,19.93%
06/04/2023,2.76,2.76,2.76,2.76,3.90M,-50.09%
06/01/2023,5.53,6.12,6.3,5.5,20.31M,-8.14%
05/31/2023,6.02,6.1,6.43,5.84,29.60M,0.33%
05/30/2023,6.0,5.64,6.45,5.6,32.03M,9.09%
05/29/2023,5.5,5.15,6.06,4.87,37.33M,6.80%
05/28/2023,5.15,4.8,5.32,4.72,27.24M,15.47%
05/25/2023,4.46,3.65,4.46,3.58,34.14M,19.89%
05/24/2023,3.72,3.99,4.03,3.62,17.13M,-5.82%
05/23/2023,3.95,3.89,4.12,3.87,24.29M,1.28%
05/22/2023,3.9,3.57,3.91,3.53,25.32M,12.39%
05/21/2023,3.47,3.18,3.47,3.18,11.12M,9.46%
05/18/2023,3.17,3.23,3.27,3.14,4.60M,-1.25%
05/17/2023,3.21,3.15,3.33,3.15,8.64M,2.23%
05/16/2023,3.14,3.11,3.19,3.08,2.62M,0.64%
05/15/2023,3.12,3.21,3.23,3.07,2.47M,-3.41%
05/14/2023,3.23,3.23,3.23,3.11,1.72M,0.94%
05/11/2023,3.2,3.28,3.28,3.2,3.17M,-1.23%
05/10/2023,3.24,3.21,3.27,3.15,3.46M,0.93%
05/09/2023,3.21,3.36,3.4,3.2,5.00M,-3.02%
05/08/2023,3.31,3.2,3.35,3.2,5.32M,4.09%
05/07/2023,3.18,3.17,3.22,3.14,1.86M,0.00%
05/03/2023,3.18,3.2,3.25,3.16,2.60M,-0.93%
05/02/2023,3.21,3.24,3.3,3.16,2.60M,-1.23%
05/01/2023,3.25,3.32,3.35,3.16,4.12M,-2.40%
04/30/2023,3.33,3.4,3.51,3.29,5.76M,-1.48%
04/27/2023,3.38,3.32,3.42,3.32,3.75M,2.11%
04/26/2023,3.31,3.38,3.38,3.25,1.70M,-0.60%
04/19/2023,3.33,3.37,3.44,3.28,4.85M,0.00%
04/18/2023,3.33,3.28,3.37,3.25,2.56M,1.22%
04/13/2023,3.29,3.37,3.4,3.26,3.43M,-2.37%
04/12/2023,3.37,3.45,3.57,3.34,12.14M,-0.59%
04/11/2023,3.39,3.39,3.44,3.34,5.59M,0.30%
04/10/2023,3.38,3.43,3.46,3.33,7.26M,-0.59%
04/09/2023,3.4,3.17,3.41,3.16,11.24M,7.26%
04/06/2023,3.17,3.19,3.28,3.13,8.23M,-0.63%
04/05/2023,3.19,3.35,3.35,3.17,9.32M,-4.49%
04/04/2023,3.34,3.15,3.36,3.12,11.62M,8.44%
04/03/2023,3.08,3.08,3.16,3.02,8.88M,2.67%
04/02/2023,3.0,2.99,3.05,2.93,4.82M,2.39%
03/30/2023,2.93,3.06,3.17,2.88,13.55M,-3.30%
03/29/2023,3.03,2.7,3.03,2.67,12.18M,12.64%
03/28/2023,2.69,2.7,2.76,2.61,2.50M,-2.18%
03/27/2023,2.75,2.85,2.88,2.74,3.75M,-2.48%
03/26/2023,2.82,2.8,2.85,2.77,3.22M,2.17%
03/23/2023,2.76,2.72,2.81,2.68,1.84M,0.73%
03/22/2023,2.74,2.9,2.91,2.72,10.18M,-4.86%
03/21/2023,2.88,2.62,2.88,2.61,7.94M,12.06%
03/20/2023,2.57,2.49,2.65,2.46,6.95M,3.63%
03/19/2023,2.48,2.5,2.52,2.4,6.66M,-0.80%
03/16/2023,2.5,2.44,2.53,2.31,6.22M,4.60%
03/15/2023,2.39,2.84,2.91,2.3,9.24M,-14.34%
03/14/2023,2.79,2.77,2.84,2.6,6.40M,1.09%
03/13/2023,2.76,3.06,3.13,2.7,6.48M,-9.21%
03/12/2023,3.04,3.16,3.21,3.0,5.53M,-5.00%
03/09/2023,3.2,3.11,3.2,3.09,5.72M,2.89%
03/08/2023,3.11,3.14,3.2,3.05,8.20M,-1.27%
03/07/2023,3.15,3.3,3.34,3.1,6.64M,-3.37%
03/06/2023,3.26,3.24,3.36,3.2,6.93M,0.93%
03/05/2023,3.23,3.35,3.35,3.2,5.89M,-2.71%
03/02/2023,3.32,3.52,3.53,3.3,12.63M,-4.87%
03/01/2023,3.49,3.4,3.63,3.4,20.87M,3.25%
02/28/2023,3.38,3.34,3.39,3.27,10.60M,3.05%
02/27/2023,3.28,3.22,3.35,3.18,11.87M,3.14%
02/26/2023,3.18,3.24,3.27,3.16,6.48M,-0.62%
02/23/2023,3.2,3.23,3.28,3.15,14.65M,0.00%
02/22/2023,3.2,3.44,3.48,3.19,8.23M,-6.43%
02/21/2023,3.42,3.48,3.49,3.35,9.94M,0.29%
02/20/2023,3.41,3.33,3.53,3.3,19.77M,3.96%
02/19/2023,3.28,3.33,3.41,3.23,10.11M,-1.50%
02/16/2023,3.33,3.47,3.52,3.31,17.98M,-4.03%
02/15/2023,3.47,3.62,3.65,3.46,11.49M,-3.88%
02/14/2023,3.61,3.51,3.65,3.44,24.39M,4.03%
02/13/2023,3.47,3.35,3.59,3.23,45.82M,5.15%
02/12/2023,3.3,2.88,3.32,2.83,24.96M,14.58%
02/09/2023,2.88,2.85,2.92,2.81,5.45M,2.49%
02/08/2023,2.81,2.78,2.98,2.68,14.86M,2.93%
02/07/2023,2.73,2.75,2.85,2.72,3.94M,-0.36%
02/06/2023,2.74,2.74,2.87,2.72,7.30M,0.74%
02/05/2023,2.72,2.95,2.97,2.68,8.33M,-6.21%
02/02/2023,2.9,2.78,3.05,2.75,23.85M,7.01%
02/01/2023,2.71,2.53,2.72,2.47,2.71M,6.69%
01/31/2023,2.54,2.63,2.65,2.52,1.33M,-1.93%
01/30/2023,2.59,2.7,2.72,2.56,2.16M,-3.36%
01/29/2023,2.68,2.73,2.75,2.67,1.43M,-0.74%
01/25/2023,2.7,2.69,2.75,2.68,2.14M,0.75%
01/24/2023,2.68,2.7,2.7,2.64,967.98K,-0.37%
01/23/2023,2.69,2.75,2.77,2.66,1.80M,-1.10%
01/22/2023,2.72,2.66,2.82,2.66,4.21M,2.26%
01/19/2023,2.66,2.71,2.72,2.64,1.90M,-0.75%
01/18/2023,2.68,2.7,2.72,2.66,2.34M,0.37%
01/17/2023,2.67,2.7,2.72,2.65,1.64M,0.00%
01/16/2023,2.67,2.7,2.77,2.65,2.91M,-0.37%
01/15/2023,2.68,2.54,2.75,2.54,4.03M,6.77%
01/12/2023,2.51,2.46,2.63,2.46,1.57M,-2.71%
01/11/2023,2.58,2.61,2.73,2.5,2.69M,-2.64%
01/10/2023,2.65,2.75,2.75,2.61,1.98M,-2.21%
01/09/2023,2.71,2.84,2.85,2.67,3.90M,-2.17%
01/05/2023,2.77,2.89,2.9,2.73,6.96M,-2.81%
01/04/2023,2.85,2.91,2.92,2.7,6.13M,-2.06%
01/03/2023,2.91,2.92,2.99,2.89,4.87M,0.34%
01/02/2023,2.9,2.89,2.95,2.85,3.20M,1.05%
12/29/2022,2.87,2.95,3.02,2.84,4.10M,-2.05%
12/28/2022,2.93,2.8,2.94,2.77,4.75M,5.02%
12/27/2022,2.79,2.71,2.84,2.71,4.74M,4.10%
12/26/2022,2.68,2.68,2.75,2.65,4.48M,1.13%
12/25/2022,2.65,2.74,2.76,2.61,3.41M,-3.99%
12/22/2022,2.76,2.87,2.89,2.75,3.93M,-2.47%
12/21/2022,2.83,2.9,2.95,2.8,4.23M,-2.08%
12/20/2022,2.89,3.08,3.13,2.87,11.43M,-3.99%
12/19/2022,3.01,2.75,3.05,2.75,15.21M,9.85%
12/18/2022,2.74,2.91,2.93,2.71,7.98M,-3.52%
12/15/2022,2.84,2.64,2.95,2.62,11.40M,9.23%
12/14/2022,2.6,2.68,2.7,2.6,4.73M,-1.89%
12/13/2022,2.65,2.57,2.68,2.56,6.81M,3.92%
12/12/2022,2.55,2.64,2.65,2.45,7.71M,-1.92%
12/11/2022,2.6,2.75,2.8,2.58,4.86M,-5.45%
12/08/2022,2.75,2.9,2.9,2.73,4.66M,-3.17%
12/07/2022,2.84,2.8,2.98,2.75,3.89M,3.65%
12/06/2022,2.74,2.87,2.9,2.53,3.01M,-4.86%
12/05/2022,2.88,2.95,3.04,2.85,4.09M,-2.37%
12/04/2022,2.95,3.08,3.08,2.94,5.61M,-2.32%
12/01/2022,3.02,3.0,3.08,2.99,3.77M,0.67%
