Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,2.26,2.29,2.31,2.26,18.93M,-1.31%
08/08/2023,2.29,2.36,2.36,2.29,20.31M,-2.55%
08/07/2023,2.35,2.35,2.38,2.34,24.99M,0.43%
08/06/2023,2.34,2.28,2.36,2.28,25.42M,2.63%
08/03/2023,2.28,2.3,2.31,2.27,10.68M,0.00%
08/02/2023,2.28,2.32,2.35,2.26,27.65M,-0.87%
08/01/2023,2.3,2.3,2.36,2.28,26.47M,0.88%
07/31/2023,2.28,2.31,2.33,2.24,35.05M,-0.44%
07/30/2023,2.29,2.37,2.37,2.28,20.68M,-2.97%
07/27/2023,2.36,2.33,2.39,2.33,20.13M,1.29%
07/26/2023,2.33,2.39,2.4,2.32,16.56M,-2.51%
07/25/2023,2.39,2.49,2.5,2.35,19.76M,-3.63%
07/24/2023,2.48,2.52,2.54,2.47,15.58M,-1.20%
07/19/2023,2.51,2.55,2.56,2.5,28.64M,-1.57%
07/18/2023,2.55,2.45,2.55,2.44,45.36M,4.08%
07/17/2023,2.45,2.46,2.49,2.43,28.79M,0.00%
07/16/2023,2.45,2.47,2.51,2.42,42.54M,0.00%
07/13/2023,2.45,2.52,2.54,2.43,49.37M,-2.39%
07/12/2023,2.51,2.61,2.63,2.48,62.91M,-3.46%
07/11/2023,2.6,2.65,2.67,2.58,38.85M,-1.52%
07/10/2023,2.64,2.5,2.66,2.42,66.30M,7.76%
07/09/2023,2.45,2.95,2.96,2.44,83.44M,-16.10%
07/06/2023,2.92,2.96,2.99,2.88,50.83M,1.74%
07/05/2023,2.87,2.88,2.92,2.84,26.40M,0.35%
07/04/2023,2.86,2.95,2.96,2.85,16.98M,-1.72%
06/26/2023,2.91,2.87,2.95,2.86,37.78M,2.11%
06/25/2023,2.85,3.03,3.06,2.85,67.40M,-4.36%
06/22/2023,2.98,2.78,2.98,2.76,50.25M,7.19%
06/21/2023,2.78,2.8,2.83,2.76,30.57M,-0.71%
06/20/2023,2.8,2.85,2.87,2.79,27.04M,-1.41%
06/19/2023,2.84,2.88,2.9,2.76,76.51M,-1.39%
06/18/2023,2.88,2.93,2.96,2.87,55.23M,0.35%
06/15/2023,2.87,2.98,3.0,2.85,86.47M,-3.04%
06/14/2023,2.96,2.96,3.03,2.93,73.25M,1.72%
06/13/2023,2.91,2.77,2.91,2.74,80.71M,5.05%
06/12/2023,2.77,2.82,2.84,2.77,24.26M,-1.07%
06/11/2023,2.8,2.79,2.86,2.77,64.48M,1.82%
06/08/2023,2.75,2.76,2.83,2.73,49.29M,0.36%
06/07/2023,2.74,2.86,2.9,2.71,102.98M,-2.49%
06/06/2023,2.81,2.65,2.84,2.65,97.46M,7.25%
06/05/2023,2.62,2.67,2.73,2.6,65.07M,-0.76%
06/04/2023,2.64,2.62,2.8,2.52,152.69M,10.00%
06/01/2023,2.4,2.28,2.42,2.28,102.60M,6.19%
05/31/2023,2.26,2.26,2.31,2.25,71.82M,0.89%
05/30/2023,2.24,2.25,2.29,2.23,55.86M,0.00%
05/29/2023,2.24,2.21,2.25,2.17,36.86M,1.82%
05/28/2023,2.2,2.18,2.23,2.17,24.31M,1.38%
05/25/2023,2.17,2.22,2.22,2.16,22.14M,-1.36%
05/24/2023,2.2,2.16,2.23,2.13,59.13M,2.80%
05/23/2023,2.14,2.14,2.15,2.09,38.81M,0.47%
05/22/2023,2.13,2.17,2.2,2.12,19.59M,-1.39%
05/21/2023,2.16,2.17,2.2,2.15,16.88M,0.00%
05/18/2023,2.16,2.15,2.16,2.1,29.84M,0.47%
05/17/2023,2.15,2.21,2.22,2.14,24.35M,-1.83%
05/16/2023,2.19,2.22,2.23,2.16,39.43M,-1.79%
05/15/2023,2.23,2.3,2.33,2.21,63.68M,-1.76%
05/14/2023,2.27,2.21,2.27,2.2,66.70M,4.13%
05/11/2023,2.18,2.25,2.26,2.17,40.36M,-2.68%
05/10/2023,2.24,2.18,2.25,2.12,61.23M,3.23%
05/09/2023,2.17,2.26,2.28,2.16,60.16M,-3.56%
05/08/2023,2.25,2.15,2.25,2.15,56.24M,5.63%
05/07/2023,2.13,2.13,2.15,2.08,26.60M,0.95%
05/03/2023,2.11,2.12,2.14,2.07,25.06M,0.48%
05/02/2023,2.1,2.13,2.16,2.08,34.53M,-1.41%
05/01/2023,2.13,2.24,2.25,2.1,44.91M,-4.48%
04/30/2023,2.23,2.3,2.34,2.21,59.29M,-1.76%
04/27/2023,2.27,2.23,2.29,2.23,51.39M,2.25%
04/26/2023,2.22,2.22,2.24,2.18,27.36M,0.45%
04/19/2023,2.21,2.24,2.27,2.19,48.81M,-0.45%
04/18/2023,2.22,2.16,2.23,2.13,40.75M,2.83%
04/13/2023,2.159,2.131,2.175,2.123,33.86M,1.36%
04/12/2023,2.13,2.175,2.2,2.12,40.99M,-1.75%
04/11/2023,2.168,2.2,2.216,2.153,35.71M,-1.00%
04/10/2023,2.19,2.098,2.2,2.091,87.26M,5.80%
04/09/2023,2.07,1.98,2.08,1.962,81.22M,4.33%
04/06/2023,1.984,2.05,2.06,1.962,38.70M,-2.75%
04/05/2023,2.04,2.069,2.08,2.021,29.43M,-1.26%
04/04/2023,2.066,2.1,2.123,2.054,74.01M,0.29%
04/03/2023,2.06,1.902,2.06,1.902,67.06M,8.76%
04/02/2023,1.894,1.863,1.899,1.852,10.05M,1.66%
03/30/2023,1.863,1.93,1.94,1.851,28.22M,-2.61%
03/29/2023,1.913,1.831,1.94,1.831,42.64M,4.71%
03/28/2023,1.827,1.794,1.841,1.751,15.27M,1.11%
03/27/2023,1.807,1.867,1.876,1.76,26.70M,-1.47%
03/26/2023,1.834,1.8,1.838,1.79,25.46M,3.32%
03/23/2023,1.775,1.72,1.79,1.701,14.54M,2.36%
03/22/2023,1.734,1.787,1.81,1.724,19.92M,-2.03%
03/21/2023,1.77,1.689,1.784,1.689,27.50M,5.61%
03/20/2023,1.676,1.585,1.7,1.57,26.40M,6.08%
03/19/2023,1.58,1.598,1.6,1.51,23.87M,-1.25%
03/16/2023,1.6,1.58,1.66,1.53,63.31M,0.00%
03/15/2023,1.6,1.88,1.92,1.51,35.72M,-14.89%
03/14/2023,1.88,1.84,1.9,1.77,28.98M,3.30%
03/13/2023,1.82,2.0,2.02,1.75,50.67M,-7.61%
03/12/2023,1.97,2.09,2.09,1.97,33.21M,-6.19%
03/09/2023,2.1,2.09,2.13,2.07,17.79M,1.45%
03/08/2023,2.07,2.09,2.11,2.02,30.04M,-1.43%
03/07/2023,2.1,2.21,2.23,2.09,26.37M,-4.55%
03/06/2023,2.2,2.23,2.27,2.18,27.32M,-0.45%
03/05/2023,2.21,2.28,2.28,2.19,26.20M,-2.21%
03/02/2023,2.26,2.32,2.33,2.24,25.88M,-1.74%
03/01/2023,2.3,2.24,2.32,2.22,78.42M,3.60%
02/28/2023,2.22,2.16,2.23,2.14,61.93M,3.26%
02/27/2023,2.15,2.15,2.2,2.13,65.68M,0.94%
02/26/2023,2.13,2.09,2.15,2.05,32.95M,2.40%
02/23/2023,2.08,2.09,2.1,2.0,25.47M,0.48%
02/22/2023,2.07,2.15,2.15,2.06,28.65M,-3.27%
02/21/2023,2.14,2.09,2.14,2.05,33.61M,1.90%
02/20/2023,2.1,2.17,2.19,2.07,45.45M,-3.23%
02/19/2023,2.17,2.2,2.24,2.15,78.27M,-0.91%
02/16/2023,2.19,2.12,2.19,2.09,71.80M,3.79%
02/15/2023,2.11,2.12,2.15,2.08,52.16M,0.96%
02/14/2023,2.09,2.02,2.12,2.02,80.51M,4.50%
02/13/2023,2.0,2.02,2.03,1.98,23.62M,0.00%
02/12/2023,2.0,2.01,2.06,1.97,33.13M,-0.35%
02/09/2023,2.007,1.966,2.02,1.956,47.71M,2.40%
02/08/2023,1.96,2.05,2.054,1.96,52.71M,-3.92%
02/07/2023,2.04,1.94,2.04,1.94,57.00M,6.19%
02/06/2023,1.921,1.933,1.968,1.894,24.82M,0.58%
02/05/2023,1.91,2.027,2.027,1.823,58.42M,-4.02%
02/02/2023,1.99,2.12,2.15,1.98,49.44M,-5.24%
02/01/2023,2.1,2.13,2.16,2.07,35.28M,-0.94%
01/31/2023,2.12,2.24,2.25,2.12,45.27M,-5.36%
01/30/2023,2.24,2.4,2.4,2.24,70.60M,-5.49%
01/29/2023,2.37,2.38,2.4,2.33,43.29M,0.85%
01/25/2023,2.35,2.37,2.39,2.33,46.64M,-0.42%
01/24/2023,2.36,2.41,2.41,2.31,66.80M,-1.26%
01/23/2023,2.39,2.39,2.46,2.37,124.77M,1.27%
01/22/2023,2.36,2.39,2.44,2.34,53.70M,1.29%
01/19/2023,2.33,2.3,2.4,2.28,87.48M,2.19%
01/18/2023,2.28,2.32,2.36,2.26,42.55M,0.00%
01/17/2023,2.28,2.33,2.36,2.28,33.81M,-0.44%
01/16/2023,2.29,2.25,2.33,2.25,40.20M,2.23%
01/15/2023,2.24,2.32,2.34,2.23,32.97M,-1.75%
01/12/2023,2.28,2.33,2.37,2.23,37.32M,-0.44%
01/11/2023,2.29,2.25,2.47,2.25,94.30M,1.78%
01/10/2023,2.25,2.35,2.4,2.25,71.09M,-4.26%
01/09/2023,2.35,2.24,2.42,2.21,101.73M,6.33%
01/05/2023,2.21,2.26,2.28,2.19,44.62M,-1.34%
01/04/2023,2.24,2.25,2.28,2.05,74.17M,0.45%
01/03/2023,2.23,2.27,2.32,2.2,83.18M,-0.89%
01/02/2023,2.25,2.11,2.25,2.08,52.24M,8.17%
12/29/2022,2.08,2.12,2.17,2.07,38.77M,-1.42%
12/28/2022,2.11,2.12,2.14,2.08,27.42M,0.48%
12/27/2022,2.1,2.2,2.2,2.09,46.50M,-2.78%
12/26/2022,2.16,2.02,2.17,1.95,64.28M,8.54%
12/25/2022,1.99,2.12,2.17,1.95,81.19M,-8.72%
12/22/2022,2.18,2.28,2.35,2.15,52.60M,-4.39%
12/21/2022,2.28,2.27,2.38,2.21,70.22M,1.33%
12/20/2022,2.25,2.38,2.41,2.25,71.32M,-1.32%
12/19/2022,2.28,2.1,2.32,2.04,106.57M,10.68%
12/18/2022,2.06,2.1,2.21,2.02,90.39M,-1.90%
12/15/2022,2.1,2.134,2.179,2.01,60.49M,-0.47%
12/14/2022,2.11,2.16,2.238,2.107,78.69M,-0.94%
12/13/2022,2.13,1.888,2.199,1.845,134.81M,15.76%
12/12/2022,1.84,1.693,1.84,1.662,89.25M,8.68%
12/11/2022,1.693,1.649,1.746,1.64,82.25M,4.44%
12/08/2022,1.621,1.63,1.654,1.603,54.49M,-0.25%
12/07/2022,1.625,1.551,1.665,1.55,99.63M,5.93%
12/06/2022,1.534,1.495,1.54,1.475,32.08M,2.54%
12/05/2022,1.496,1.54,1.563,1.492,30.65M,-2.35%
12/04/2022,1.532,1.52,1.568,1.52,38.56M,1.79%
12/01/2022,1.505,1.45,1.52,1.45,45.68M,4.22%
11/30/2022,1.444,1.451,1.459,1.421,30.46M,-0.28%
11/29/2022,1.448,1.467,1.473,1.445,34.92M,-0.41%
11/28/2022,1.454,1.43,1.47,1.425,64.03M,2.18%
11/27/2022,1.423,1.384,1.444,1.384,60.22M,3.64%
11/24/2022,1.373,1.38,1.39,1.364,11.26M,-0.29%
11/23/2022,1.377,1.369,1.398,1.36,40.66M,2.30%
11/22/2022,1.346,1.34,1.357,1.327,11.85M,0.52%
11/21/2022,1.339,1.377,1.377,1.333,14.73M,-1.33%
11/20/2022,1.357,1.365,1.378,1.352,15.21M,0.07%
11/17/2022,1.356,1.362,1.38,1.351,36.80M,-0.29%
11/16/2022,1.36,1.329,1.363,1.32,29.21M,3.42%
11/15/2022,1.315,1.33,1.339,1.311,13.33M,-0.53%
11/14/2022,1.322,1.331,1.333,1.301,16.09M,-0.60%
11/13/2022,1.33,1.299,1.345,1.299,34.50M,4.40%
11/10/2022,1.274,1.274,1.29,1.268,9.79M,0.63%
11/09/2022,1.266,1.274,1.289,1.264,7.89M,-0.24%
11/08/2022,1.269,1.281,1.3,1.264,14.40M,-0.78%
11/07/2022,1.279,1.286,1.299,1.275,7.59M,-0.39%
11/06/2022,1.284,1.295,1.315,1.275,12.73M,0.55%
11/03/2022,1.277,1.29,1.294,1.267,7.16M,-0.31%
11/02/2022,1.281,1.318,1.32,1.28,13.05M,-2.29%
11/01/2022,1.311,1.329,1.329,1.296,17.05M,0.31%
10/31/2022,1.307,1.291,1.309,1.273,23.53M,1.08%
10/30/2022,1.293,1.343,1.354,1.292,27.71M,-3.29%
10/27/2022,1.337,1.36,1.38,1.336,40.77M,-0.07%
10/26/2022,1.338,1.329,1.351,1.32,19.52M,1.29%
10/25/2022,1.321,1.335,1.342,1.311,15.57M,-0.15%
10/24/2022,1.323,1.35,1.352,1.32,9.25M,-1.34%
10/23/2022,1.341,1.342,1.37,1.34,18.14M,0.90%
10/20/2022,1.329,1.32,1.347,1.32,9.00M,0.68%
10/19/2022,1.32,1.346,1.356,1.317,9.94M,-1.86%
10/18/2022,1.345,1.35,1.36,1.34,12.59M,0.45%
10/17/2022,1.339,1.349,1.36,1.334,17.80M,-0.07%
10/16/2022,1.34,1.34,1.36,1.33,19.29M,0.68%
10/13/2022,1.331,1.32,1.343,1.312,19.24M,1.45%
10/12/2022,1.312,1.335,1.35,1.304,27.68M,-1.58%
10/11/2022,1.333,1.37,1.383,1.325,30.31M,-3.13%
10/10/2022,1.376,1.414,1.419,1.367,39.68M,-2.06%
10/09/2022,1.405,1.381,1.41,1.367,51.52M,1.96%
10/05/2022,1.378,1.35,1.386,1.341,37.96M,3.14%
10/04/2022,1.336,1.334,1.35,1.325,19.12M,2.45%
10/03/2022,1.304,1.313,1.332,1.29,19.09M,-0.76%
10/02/2022,1.314,1.33,1.356,1.302,26.22M,0.08%
09/29/2022,1.313,1.261,1.335,1.261,47.32M,6.06%
09/28/2022,1.238,1.279,1.28,1.232,18.31M,-2.67%
09/27/2022,1.272,1.227,1.29,1.222,28.44M,4.61%
09/26/2022,1.216,1.219,1.235,1.212,5.98M,0.83%
09/25/2022,1.206,1.219,1.22,1.195,7.85M,-0.82%
09/22/2022,1.216,1.2,1.236,1.19,7.08M,0.25%
09/21/2022,1.213,1.221,1.25,1.202,8.97M,-0.57%
09/20/2022,1.22,1.229,1.239,1.192,8.63M,-0.25%
09/19/2022,1.223,1.2,1.23,1.16,9.98M,2.69%
09/18/2022,1.191,1.29,1.291,1.171,21.22M,-7.39%
09/15/2022,1.286,1.317,1.33,1.285,19.59M,-2.58%
09/14/2022,1.32,1.349,1.35,1.314,13.62M,-2.73%
09/13/2022,1.357,1.408,1.408,1.353,21.84M,-2.65%
09/12/2022,1.394,1.396,1.445,1.387,32.92M,0.00%
09/11/2022,1.394,1.416,1.432,1.388,20.43M,-0.57%
09/08/2022,1.402,1.42,1.443,1.395,27.57M,-0.85%
09/07/2022,1.414,1.397,1.45,1.378,71.12M,1.95%
09/06/2022,1.387,1.419,1.421,1.383,42.27M,-0.93%
09/05/2022,1.4,1.315,1.407,1.31,73.87M,6.87%
09/04/2022,1.31,1.31,1.316,1.286,16.45M,-0.15%
09/01/2022,1.312,1.351,1.365,1.303,27.31M,-2.81%
08/31/2022,1.35,1.361,1.393,1.349,41.70M,-0.44%
08/30/2022,1.356,1.353,1.383,1.342,40.63M,1.12%
08/29/2022,1.341,1.305,1.376,1.3,77.42M,3.55%
08/28/2022,1.295,1.31,1.32,1.288,22.04M,-0.77%
08/25/2022,1.305,1.283,1.319,1.276,19.28M,2.59%
08/24/2022,1.272,1.286,1.329,1.269,17.53M,-1.47%
08/23/2022,1.291,1.317,1.345,1.284,23.30M,-2.20%
08/22/2022,1.32,1.346,1.356,1.307,37.87M,-1.35%
08/21/2022,1.338,1.229,1.34,1.225,74.48M,9.67%
08/18/2022,1.22,1.243,1.251,1.22,22.34M,0.08%
08/17/2022,1.219,1.19,1.237,1.19,25.14M,2.78%
08/16/2022,1.186,1.18,1.214,1.171,13.66M,1.11%
08/15/2022,1.173,1.207,1.215,1.167,22.65M,-1.92%
08/14/2022,1.196,1.215,1.246,1.196,36.71M,-0.42%
08/11/2022,1.201,1.197,1.229,1.195,21.37M,0.33%
08/10/2022,1.197,1.2,1.224,1.188,8.13M,0.50%
08/09/2022,1.191,1.25,1.263,1.191,19.74M,-4.64%
08/08/2022,1.249,1.298,1.31,1.24,45.94M,-3.25%
08/07/2022,1.291,1.29,1.306,1.26,31.86M,1.25%
08/04/2022,1.275,1.287,1.29,1.27,17.25M,0.31%
08/03/2022,1.271,1.28,1.295,1.266,4.21M,0.55%
08/02/2022,1.264,1.187,1.29,1.187,11.24M,5.60%
08/01/2022,1.197,1.22,1.227,1.191,2.30M,-1.64%
07/31/2022,1.217,1.209,1.227,1.208,2.04M,1.42%
07/28/2022,1.2,1.199,1.21,1.189,2.13M,0.93%
07/27/2022,1.189,1.229,1.234,1.18,3.71M,-2.54%
07/26/2022,1.22,1.178,1.234,1.152,5.48M,3.57%
07/25/2022,1.178,1.197,1.21,1.172,1.76M,-1.83%
07/24/2022,1.2,1.202,1.244,1.18,9.46M,0.50%
07/21/2022,1.194,1.108,1.2,1.104,23.41M,9.84%
07/20/2022,1.087,1.049,1.1,1.049,6.41M,4.22%
07/19/2022,1.043,1.027,1.049,1.02,2.94M,1.86%
07/18/2022,1.024,1.019,1.045,1.019,3.33M,1.39%
07/17/2022,1.01,1.044,1.05,0.991,2.36M,-1.94%
07/07/2022,1.03,1.016,1.045,1.01,3.81M,2.49%
07/06/2022,1.005,1.002,1.02,0.976,2.49M,-0.40%
07/05/2022,1.009,0.998,1.03,0.985,8.28M,2.54%
07/04/2022,0.984,1.099,1.099,0.98,10.45M,-10.14%
07/03/2022,1.095,1.154,1.154,1.085,5.41M,-5.03%
06/29/2022,1.153,1.179,1.179,1.14,2.65M,0.44%
06/28/2022,1.148,1.185,1.185,1.126,4.04M,-2.30%
06/27/2022,1.175,1.19,1.197,1.162,2.70M,-0.51%
06/26/2022,1.181,1.201,1.205,1.176,2.29M,0.08%
06/23/2022,1.18,1.203,1.203,1.175,6.08M,-2.24%
06/22/2022,1.207,1.234,1.235,1.204,4.67M,-2.11%
06/21/2022,1.233,1.23,1.246,1.225,1.83M,1.23%
06/20/2022,1.218,1.234,1.239,1.207,4.26M,-0.73%
06/19/2022,1.227,1.28,1.28,1.22,6.94M,-4.66%
06/16/2022,1.287,1.309,1.32,1.281,9.48M,-1.61%
06/15/2022,1.308,1.263,1.315,1.25,24.45M,4.22%
06/14/2022,1.255,1.252,1.265,1.246,4.22M,-0.79%
06/13/2022,1.265,1.25,1.271,1.249,3.14M,0.24%
06/12/2022,1.262,1.269,1.275,1.25,3.93M,-0.86%
06/09/2022,1.273,1.27,1.28,1.253,6.62M,1.19%
06/08/2022,1.258,1.235,1.268,1.23,4.51M,2.28%
06/07/2022,1.23,1.21,1.234,1.206,5.22M,2.59%
06/06/2022,1.199,1.195,1.199,1.185,1.85M,1.44%
06/05/2022,1.182,1.185,1.207,1.18,2.72M,-0.08%
06/02/2022,1.183,1.175,1.196,1.169,2.09M,0.94%
06/01/2022,1.172,1.214,1.214,1.163,2.82M,-1.76%
05/31/2022,1.193,1.189,1.22,1.186,3.04M,0.68%
05/30/2022,1.185,1.184,1.209,1.183,2.36M,-0.17%
05/29/2022,1.187,1.2,1.225,1.174,3.47M,-1.17%
05/26/2022,1.201,1.229,1.229,1.19,5.65M,-2.28%
05/25/2022,1.229,1.275,1.276,1.221,3.56M,-2.46%
05/24/2022,1.26,1.28,1.287,1.257,2.94M,-1.02%
05/23/2022,1.273,1.286,1.295,1.27,3.93M,-0.39%
05/22/2022,1.278,1.285,1.296,1.275,1.88M,0.16%
05/19/2022,1.276,1.279,1.292,1.268,2.70M,-0.93%
05/18/2022,1.288,1.281,1.319,1.28,5.10M,-0.08%
05/17/2022,1.289,1.3,1.309,1.286,1.91M,-0.31%
05/16/2022,1.293,1.283,1.312,1.26,3.86M,0.31%
05/15/2022,1.289,1.328,1.33,1.285,5.19M,-1.75%
05/12/2022,1.312,1.366,1.366,1.305,6.46M,-3.95%
05/11/2022,1.366,1.336,1.373,1.327,7.19M,2.63%
05/10/2022,1.331,1.357,1.358,1.324,2.87M,-1.41%
05/09/2022,1.35,1.34,1.378,1.34,15.59M,0.90%
05/08/2022,1.338,1.291,1.348,1.291,4.37M,0.90%
04/28/2022,1.326,1.291,1.337,1.291,5.22M,2.71%
04/27/2022,1.291,1.3,1.318,1.281,2.97M,-0.54%
04/26/2022,1.298,1.34,1.34,1.29,5.65M,-2.04%
04/21/2022,1.325,1.27,1.345,1.25,13.86M,4.50%
04/20/2022,1.268,1.269,1.294,1.26,2.63M,-0.31%
04/19/2022,1.272,1.245,1.285,1.226,8.66M,4.26%
04/18/2022,1.22,1.21,1.23,1.166,5.20M,1.16%
04/17/2022,1.206,1.265,1.297,1.197,10.75M,-4.66%
04/14/2022,1.265,1.29,1.294,1.25,7.44M,-2.84%
04/13/2022,1.302,1.334,1.348,1.294,5.25M,-2.18%
04/12/2022,1.331,1.313,1.34,1.301,4.33M,2.31%
04/11/2022,1.301,1.352,1.359,1.293,7.38M,-3.70%
04/10/2022,1.351,1.402,1.414,1.34,12.86M,-3.84%
04/07/2022,1.405,1.44,1.458,1.395,27.11M,-2.09%
04/06/2022,1.435,1.348,1.443,1.333,41.43M,6.69%
04/05/2022,1.345,1.348,1.364,1.34,4.95M,-0.52%
04/04/2022,1.352,1.384,1.39,1.343,8.05M,-1.02%
04/03/2022,1.366,1.355,1.388,1.341,10.01M,1.26%
03/31/2022,1.349,1.299,1.349,1.286,21.91M,4.90%
03/30/2022,1.286,1.275,1.314,1.275,27.21M,1.42%
03/29/2022,1.268,1.25,1.307,1.231,16.05M,1.04%
03/28/2022,1.255,1.318,1.323,1.235,7.09M,-3.91%
03/27/2022,1.306,1.36,1.36,1.3,10.09M,-3.55%
03/24/2022,1.354,1.39,1.405,1.35,16.50M,-1.60%
03/23/2022,1.376,1.379,1.39,1.356,8.94M,0.15%
03/22/2022,1.374,1.401,1.423,1.365,21.65M,-0.15%
03/21/2022,1.376,1.328,1.405,1.323,24.44M,3.46%
03/20/2022,1.33,1.329,1.346,1.327,6.05M,0.99%
03/17/2022,1.317,1.335,1.355,1.31,12.21M,-1.13%
03/16/2022,1.332,1.295,1.334,1.28,18.96M,5.30%
03/15/2022,1.265,1.31,1.337,1.256,13.19M,-3.36%
03/14/2022,1.309,1.32,1.325,1.29,9.97M,-1.28%
03/13/2022,1.326,1.382,1.39,1.313,15.57M,-4.12%
03/10/2022,1.383,1.403,1.417,1.374,12.37M,-1.57%
03/09/2022,1.405,1.448,1.449,1.395,13.42M,-1.06%
03/08/2022,1.42,1.445,1.462,1.4,14.14M,-2.07%
03/07/2022,1.45,1.484,1.514,1.446,20.95M,-1.96%
03/06/2022,1.479,1.496,1.51,1.476,14.18M,-0.87%
03/03/2022,1.492,1.48,1.516,1.48,16.98M,2.26%
03/02/2022,1.459,1.415,1.472,1.409,31.47M,3.62%
03/01/2022,1.408,1.405,1.427,1.4,16.02M,1.29%
02/28/2022,1.39,1.426,1.432,1.39,25.43M,-2.46%
02/27/2022,1.425,1.38,1.434,1.38,27.16M,6.74%
02/24/2022,1.335,1.36,1.385,1.305,37.20M,-6.90%
02/23/2022,1.434,1.448,1.475,1.428,17.45M,-0.97%
02/22/2022,1.448,1.421,1.459,1.382,43.73M,0.91%
02/21/2022,1.435,1.446,1.477,1.408,33.88M,-1.24%
02/20/2022,1.453,1.52,1.52,1.444,34.06M,-4.41%
02/17/2022,1.52,1.529,1.54,1.496,15.53M,-0.39%
02/16/2022,1.526,1.561,1.578,1.506,35.23M,-1.55%
