Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,14.34,14.4,14.73,14.25,362.99K,-0.35%
08/08/2023,14.39,14.03,14.43,13.85,157.60K,1.34%
08/07/2023,14.2,13.59,14.25,13.5,2.40M,4.49%
08/06/2023,13.59,13.96,13.96,13.4,763.23K,-1.24%
08/03/2023,13.76,13.7,13.99,13.68,36.36K,-0.51%
08/02/2023,13.83,13.85,14.24,13.66,415.23K,-0.50%
08/01/2023,13.9,13.8,13.98,13.61,135.82K,0.29%
07/31/2023,13.86,13.9,13.98,13.66,95.00K,-0.29%
07/30/2023,13.9,13.5,13.9,13.5,301.03K,2.96%
07/27/2023,13.5,13.58,13.68,13.3,132.16K,-0.37%
07/26/2023,13.55,13.72,13.72,13.5,1.02M,0.22%
07/25/2023,13.52,13.99,14.05,13.5,168.58K,-3.36%
07/24/2023,13.99,13.32,13.99,13.3,255.80K,4.87%
07/19/2023,13.34,13.5,13.65,13.3,34.28K,-0.52%
07/18/2023,13.41,13.42,13.55,13.25,135.85K,0.07%
07/17/2023,13.4,13.8,13.9,13.15,123.18K,-1.98%
07/16/2023,13.67,13.75,13.99,13.6,35.40K,-0.87%
07/13/2023,13.79,13.65,14.0,13.59,485.50K,1.17%
07/12/2023,13.63,13.7,13.9,13.32,27.69K,0.15%
07/11/2023,13.61,13.51,13.9,13.2,85.27K,3.50%
07/10/2023,13.15,13.31,13.43,12.81,1.42M,-2.66%
07/09/2023,13.51,13.9,13.9,13.0,34.80K,-2.45%
07/06/2023,13.85,14.09,14.38,13.73,64.79K,-1.63%
07/05/2023,14.08,14.42,14.5,14.0,730.13K,-2.09%
07/04/2023,14.38,14.25,14.44,14.01,962.95K,0.56%
06/26/2023,14.3,14.1,14.35,13.7,745.04K,2.44%
06/25/2023,13.96,14.5,14.6,13.9,741.31K,-3.32%
06/22/2023,14.44,14.31,14.66,14.0,633.43K,0.91%
06/21/2023,14.31,14.88,14.99,14.15,159.57K,-3.25%
06/20/2023,14.79,14.25,15.4,13.92,1.10M,5.12%
06/19/2023,14.07,14.3,15.0,13.73,1.70M,1.59%
06/18/2023,13.85,13.8,14.5,13.16,1.20M,0.07%
06/15/2023,13.84,13.0,13.85,12.93,393.43K,6.30%
06/14/2023,13.02,13.0,13.3,13.0,92.58K,-2.47%
06/13/2023,13.35,13.5,13.5,12.95,268.04K,-0.37%
06/12/2023,13.4,13.15,13.61,13.15,144.85K,2.76%
06/11/2023,13.04,13.0,13.3,13.0,41.56K,0.31%
06/08/2023,13.0,13.0,13.05,12.7,567.08K,0.00%
06/07/2023,13.0,12.96,13.1,12.9,1.01M,0.31%
06/06/2023,12.96,13.15,13.35,12.68,417.16K,-1.22%
06/05/2023,13.12,13.3,13.49,13.11,179.16K,-1.58%
06/04/2023,13.33,13.6,13.6,13.3,407.48K,0.23%
06/01/2023,13.3,13.4,13.79,13.15,2.19M,0.61%
05/31/2023,13.22,13.11,13.43,13.05,521.62K,0.15%
05/30/2023,13.2,13.13,13.35,13.03,447.06K,0.69%
05/29/2023,13.11,13.21,13.49,13.01,586.47K,-0.76%
05/28/2023,13.21,12.62,13.25,12.61,887.85K,4.76%
05/25/2023,12.61,11.97,12.77,11.94,1.78M,5.70%
05/24/2023,11.93,11.78,12.12,11.57,321.95K,2.40%
05/23/2023,11.65,11.71,11.84,11.55,242.04K,-1.27%
05/22/2023,11.8,11.73,11.94,11.6,350.69K,0.43%
05/21/2023,11.75,11.99,12.05,11.7,452.32K,-1.18%
05/18/2023,11.89,11.84,11.97,11.43,763.76K,1.62%
05/17/2023,11.7,12.0,12.14,11.68,716.88K,-2.50%
05/16/2023,12.0,12.24,12.3,11.68,1.38M,-2.20%
05/15/2023,12.27,11.33,12.3,11.22,3.92M,8.30%
05/14/2023,11.33,10.2,11.39,10.01,3.88M,11.08%
05/11/2023,10.2,9.95,10.2,9.87,737.20K,2.82%
05/10/2023,9.92,10.15,10.15,9.83,979.80K,-0.50%
05/09/2023,9.97,10.45,10.48,9.91,398.86K,-3.76%
05/08/2023,10.36,10.25,10.5,10.1,539.80K,0.48%
05/07/2023,10.31,10.4,10.4,10.02,266.79K,-1.81%
05/03/2023,10.5,10.5,10.5,10.15,514.10K,1.16%
05/02/2023,10.38,10.28,10.69,10.0,1.55M,0.97%
05/01/2023,10.28,10.3,10.31,10.1,666.06K,-0.19%
04/30/2023,10.3,10.19,10.45,10.1,917.56K,1.18%
04/27/2023,10.18,10.04,10.33,9.95,621.57K,1.90%
04/26/2023,9.99,9.98,10.09,9.82,1.06M,0.10%
04/19/2023,9.98,10.02,10.1,9.8,656.71K,-0.40%
04/18/2023,10.02,9.4,10.23,9.4,2.45M,6.71%
04/13/2023,9.39,9.35,9.4,9.22,626.28K,0.43%
04/12/2023,9.35,9.21,9.39,9.21,690.81K,1.41%
04/11/2023,9.22,9.25,9.39,9.19,422.29K,-0.22%
04/10/2023,9.24,9.25,9.35,9.2,553.37K,0.43%
04/09/2023,9.2,9.5,9.5,9.01,963.05K,-3.16%
04/06/2023,9.5,9.56,9.61,9.45,2.01M,-0.11%
04/05/2023,9.51,9.4,9.57,9.3,2.24M,2.26%
04/04/2023,9.3,8.95,9.39,8.95,1.64M,4.61%
04/03/2023,8.89,8.6,8.99,8.57,758.12K,4.10%
04/02/2023,8.54,8.5,8.65,8.5,426.68K,0.59%
03/30/2023,8.49,8.95,9.5,8.25,1.52M,0.24%
03/29/2023,8.47,8.26,8.51,8.21,1.23M,2.54%
03/28/2023,8.26,8.54,8.54,8.1,474.70K,-1.43%
03/27/2023,8.38,8.74,8.77,8.0,3.79M,-5.95%
03/26/2023,8.91,8.88,9.1,8.75,654.66K,-0.56%
03/23/2023,8.96,8.5,9.0,8.46,557.14K,5.41%
03/22/2023,8.5,8.7,8.83,8.5,980.13K,-1.85%
03/21/2023,8.66,8.73,8.8,8.55,581.27K,1.05%
03/20/2023,8.57,8.73,8.85,8.4,650.83K,-1.27%
03/19/2023,8.68,8.69,8.75,8.12,336.08K,3.70%
03/16/2023,8.37,7.85,8.76,7.8,531.16K,4.62%
03/15/2023,8.0,8.7,8.95,7.85,664.58K,-8.26%
03/14/2023,8.72,8.77,8.79,8.02,621.39K,2.83%
03/13/2023,8.48,9.48,9.5,8.11,1.13M,-8.52%
03/12/2023,9.27,9.8,9.9,9.12,433.48K,-6.36%
03/09/2023,9.9,9.93,9.93,9.71,478.12K,1.33%
03/08/2023,9.77,9.9,9.95,9.62,399.14K,-0.81%
03/07/2023,9.85,10.0,10.15,9.8,397.34K,-2.18%
03/06/2023,10.07,10.2,10.3,10.01,650.02K,-0.49%
03/05/2023,10.12,10.17,10.23,10.0,589.84K,0.00%
03/02/2023,10.12,10.55,10.56,9.96,1.75M,-2.69%
03/01/2023,10.4,10.31,10.52,10.31,859.65K,0.87%
02/28/2023,10.31,10.3,10.49,10.2,1.59M,1.08%
02/27/2023,10.2,10.03,10.4,10.03,865.41K,2.10%
02/26/2023,9.99,10.03,10.2,9.97,789.87K,-0.40%
02/23/2023,10.03,10.05,10.3,9.9,600.95K,1.01%
02/22/2023,9.93,10.37,10.44,9.86,444.75K,-4.24%
02/21/2023,10.37,10.3,10.46,10.1,562.10K,1.07%
02/20/2023,10.26,10.66,10.85,10.16,495.95K,-4.47%
02/19/2023,10.74,10.56,11.05,10.56,742.57K,-1.01%
02/16/2023,10.85,11.01,11.08,10.51,1.58M,-1.18%
02/15/2023,10.98,10.47,11.04,10.34,4.93M,6.40%
02/14/2023,10.32,9.94,10.4,9.85,1.98M,4.88%
02/13/2023,9.84,10.4,10.5,9.56,2.86M,-4.56%
02/12/2023,10.31,10.6,10.8,10.16,371.90K,-2.74%
02/09/2023,10.6,10.16,10.64,10.1,2.31M,5.05%
02/08/2023,10.09,10.0,10.47,9.84,811.90K,0.60%
02/07/2023,10.03,9.9,10.2,9.8,1.34M,2.87%
02/06/2023,9.75,9.95,10.04,9.75,1.34M,-1.12%
02/05/2023,9.86,9.8,10.08,9.11,838.85K,0.61%
02/02/2023,9.8,9.7,10.03,9.6,1.41M,1.24%
