Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,10.49,10.33,10.53,10.32,6.32M,1.25%
08/08/2023,10.36,10.4,10.5,10.35,454.65K,0.48%
08/07/2023,10.31,10.2,10.35,10.16,178.93K,1.48%
08/06/2023,10.16,10.11,10.27,10.1,159.62K,0.49%
08/03/2023,10.11,10.2,10.21,10.06,481.92K,0.30%
08/02/2023,10.08,10.2,10.2,10.05,332.61K,-0.40%
08/01/2023,10.12,10.15,10.3,10.01,761.96K,0.50%
07/31/2023,10.07,10.02,10.15,10.0,411.89K,0.70%
07/30/2023,10.0,10.05,10.19,9.99,248.50K,0.10%
07/27/2023,9.99,10.38,10.38,9.97,920.67K,-0.99%
07/26/2023,10.09,10.24,10.35,10.05,180.58K,-1.46%
07/25/2023,10.24,10.48,10.5,10.15,484.25K,-2.20%
07/24/2023,10.47,10.4,10.48,10.3,308.06K,0.87%
07/19/2023,10.38,10.48,10.5,10.34,660.83K,-0.38%
07/18/2023,10.42,10.4,10.47,10.25,5.21M,1.07%
07/17/2023,10.31,10.38,10.41,10.25,249.46K,0.19%
07/16/2023,10.29,10.2,10.5,10.15,1.14M,0.88%
07/13/2023,10.2,10.12,10.23,10.0,913.86K,0.99%
07/12/2023,10.1,10.05,10.33,10.0,1.51M,0.50%
07/11/2023,10.05,10.01,10.1,9.9,1.38M,0.50%
07/10/2023,10.0,9.85,10.12,9.82,126.20K,1.01%
07/09/2023,9.9,10.3,10.3,9.85,207.27K,-3.51%
07/06/2023,10.26,10.25,10.44,10.23,165.70K,0.00%
07/05/2023,10.26,10.3,10.37,10.19,168.36K,0.69%
07/04/2023,10.19,10.4,10.6,10.15,348.54K,-2.67%
06/26/2023,10.47,10.42,10.55,10.32,90.84K,1.75%
06/25/2023,10.29,10.49,10.54,10.26,189.04K,-0.68%
06/22/2023,10.36,10.36,10.4,10.2,519.35K,0.00%
06/21/2023,10.36,10.6,10.64,10.31,271.35K,-2.17%
