Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,4.14,4.16,4.2,4.13,665.81K,-0.24%
08/08/2023,4.15,4.18,4.19,4.15,445.32K,0.00%
08/07/2023,4.15,4.07,4.24,4.07,2.24M,2.47%
08/06/2023,4.05,4.07,4.08,4.04,544.41K,0.25%
08/03/2023,4.04,4.08,4.09,4.02,1.62M,-0.49%
08/02/2023,4.06,4.02,4.16,4.0,5.02M,2.01%
08/01/2023,3.98,4.1,4.1,3.96,4.60M,-2.45%
07/31/2023,4.08,4.06,4.09,4.04,1.36M,0.49%
07/30/2023,4.06,4.03,4.1,4.03,871.22K,1.00%
07/27/2023,4.02,4.18,4.18,3.94,6.90M,-3.13%
07/26/2023,4.15,4.21,4.21,4.14,4.38M,-0.72%
07/25/2023,4.18,4.3,4.3,4.15,2.16M,-2.56%
07/24/2023,4.29,4.3,4.32,4.27,848.80K,0.47%
07/19/2023,4.27,4.25,4.32,4.23,1.97M,0.47%
07/18/2023,4.25,4.27,4.3,4.22,867.65K,-0.23%
07/17/2023,4.26,4.27,4.27,4.23,595.03K,0.00%
07/16/2023,4.26,4.28,4.29,4.25,80.97K,0.47%
07/13/2023,4.24,4.25,4.28,4.21,454.86K,0.71%
07/12/2023,4.21,4.34,4.34,4.2,364.11K,-2.09%
07/11/2023,4.3,4.2,4.34,4.2,470.12K,2.38%
07/10/2023,4.2,4.15,4.3,4.11,2.87M,1.20%
07/09/2023,4.15,4.3,4.32,4.1,468.19K,-3.94%
07/06/2023,4.32,4.46,4.46,4.3,500.59K,-2.70%
07/05/2023,4.44,4.49,4.49,4.43,290.14K,0.23%
07/04/2023,4.43,4.5,4.54,4.42,682.33K,-0.45%
06/26/2023,4.45,4.45,4.47,4.4,343.47K,0.45%
06/25/2023,4.43,4.51,4.59,4.43,585.57K,-1.77%
06/22/2023,4.51,4.58,4.6,4.51,677.12K,-1.10%
06/21/2023,4.56,4.64,4.67,4.56,2.14M,-0.87%
06/20/2023,4.6,4.52,4.68,4.5,3.92M,3.37%
06/19/2023,4.45,4.55,4.58,4.4,1.42M,-1.11%
06/18/2023,4.5,4.55,4.59,4.5,691.35K,0.00%
06/15/2023,4.5,4.52,4.54,4.45,648.21K,0.22%
06/14/2023,4.49,4.4,4.56,4.4,5.00M,2.28%
06/13/2023,4.39,4.43,4.44,4.38,524.37K,0.00%
06/12/2023,4.39,4.41,4.45,4.39,220.14K,-0.23%
06/11/2023,4.4,4.43,4.5,4.39,1.14M,-0.23%
06/08/2023,4.41,4.42,4.46,4.38,810.53K,0.46%
06/07/2023,4.39,4.43,4.54,4.37,2.51M,-0.90%
06/06/2023,4.43,4.45,4.46,4.4,1.29M,0.23%
06/05/2023,4.42,4.53,4.53,4.4,1.55M,-1.78%
06/04/2023,4.5,4.61,4.63,4.49,3.59M,-1.75%
06/01/2023,4.58,4.63,4.71,4.55,3.86M,0.00%
05/31/2023,4.58,4.65,4.69,4.57,2.46M,-1.51%
05/30/2023,4.65,4.6,4.67,4.58,1.46M,1.09%
05/29/2023,4.6,4.61,4.67,4.59,5.65M,-0.22%
05/28/2023,4.61,4.73,4.73,4.59,1.62M,-0.65%
05/25/2023,4.64,4.71,4.75,4.62,580.68K,-1.28%
05/24/2023,4.7,4.73,4.88,4.69,2.49M,-1.67%
05/23/2023,4.78,4.76,4.85,4.74,113.37K,-1.44%
05/22/2023,4.85,4.84,4.92,4.8,552.71K,0.00%
05/21/2023,4.85,4.65,4.87,4.61,648.27K,4.98%
05/18/2023,4.62,4.55,4.65,4.53,431.43K,0.87%
05/17/2023,4.58,4.65,4.73,4.53,909.31K,-1.51%
05/16/2023,4.65,4.77,4.8,4.5,3.58M,-2.31%
05/15/2023,4.76,4.9,4.94,4.71,494.91K,-2.66%
05/14/2023,4.89,4.91,4.99,4.84,1.88M,-0.20%
05/11/2023,4.9,4.75,4.91,4.72,2.15M,4.26%
05/10/2023,4.7,4.54,4.7,4.46,1.91M,4.21%
05/09/2023,4.51,4.51,4.58,4.46,670.68K,0.89%
05/08/2023,4.47,4.37,4.52,4.37,3.28M,1.13%
05/07/2023,4.42,4.5,4.5,4.34,460.84K,-0.45%
05/03/2023,4.44,4.45,4.5,4.41,99.04K,-0.89%
05/02/2023,4.48,4.49,4.5,4.4,647.99K,-0.44%
05/01/2023,4.5,4.64,4.69,4.5,1.10M,-2.60%
04/30/2023,4.62,4.6,4.7,4.5,2.55M,0.00%
04/27/2023,4.62,4.5,4.64,4.47,466.59K,2.90%
04/26/2023,4.49,4.6,4.6,4.46,344.16K,-2.60%
04/19/2023,4.61,4.44,4.65,4.43,996.76K,3.83%
04/18/2023,4.44,4.4,4.45,4.35,155.13K,0.91%
04/13/2023,4.4,4.49,4.49,4.35,1.28M,-0.90%
04/12/2023,4.44,4.55,4.56,4.42,507.03K,-1.77%
04/11/2023,4.52,4.43,4.65,4.43,653.08K,2.03%
04/10/2023,4.43,4.4,4.5,4.35,810.41K,1.61%
04/09/2023,4.36,4.43,4.43,4.27,194.40K,0.00%
04/06/2023,4.36,4.55,4.59,4.35,347.67K,-2.68%
04/05/2023,4.48,4.54,4.54,4.38,292.01K,-0.67%
04/04/2023,4.51,4.62,4.62,4.48,625.50K,-1.31%
04/03/2023,4.57,4.36,4.71,4.36,1.80M,2.01%
04/02/2023,4.48,4.43,4.51,4.11,299.06K,1.59%
03/30/2023,4.41,4.45,4.7,4.3,2.15M,0.46%
03/29/2023,4.39,4.14,4.5,4.1,1.22M,7.07%
03/28/2023,4.1,4.13,4.18,4.1,1.02M,-0.73%
03/27/2023,4.13,4.19,4.25,4.08,2.15M,-1.43%
03/26/2023,4.19,4.18,4.21,4.12,721.20K,1.70%
03/23/2023,4.12,4.13,4.24,4.1,1.75M,-0.24%
03/22/2023,4.13,4.48,4.48,4.1,1.39M,-6.14%
03/21/2023,4.4,4.3,4.5,4.3,176.85K,2.09%
03/20/2023,4.31,4.04,4.47,4.02,1.82M,6.95%
03/19/2023,4.03,4.25,4.25,4.0,367.92K,-3.12%
03/16/2023,4.16,4.3,4.3,3.93,987.16K,-1.19%
03/15/2023,4.21,4.6,4.65,4.05,322.09K,-5.82%
03/14/2023,4.47,4.78,4.78,4.27,271.94K,-2.83%
03/13/2023,4.6,4.99,4.99,4.6,926.80K,-5.74%
03/12/2023,4.88,5.02,5.1,4.8,74.41K,-2.79%
03/09/2023,5.02,5.12,5.12,5.0,106.21K,-0.59%
03/08/2023,5.05,5.06,5.15,5.02,1.32M,-2.88%
03/07/2023,5.2,5.25,5.25,5.1,57.30K,0.00%
03/06/2023,5.2,5.31,5.31,5.2,375.77K,-0.95%
03/05/2023,5.25,5.3,5.38,5.21,323.26K,-1.13%
03/02/2023,5.31,5.27,5.37,5.21,82.27K,0.19%
03/01/2023,5.3,5.3,5.34,5.21,101.54K,0.00%
02/28/2023,5.3,5.3,5.39,5.2,22.70K,0.00%
02/27/2023,5.3,5.32,5.4,5.3,18.82K,0.00%
02/26/2023,5.3,5.43,5.43,5.0,54.88K,0.00%
02/23/2023,5.3,5.29,5.39,5.0,62.15K,0.19%
02/22/2023,5.29,5.45,5.55,5.25,1.04M,-4.86%
02/21/2023,5.56,5.43,5.5,5.25,45.36K,0.00%
02/20/2023,5.56,5.46,5.56,5.42,36.49K,0.00%
02/19/2023,5.56,5.64,5.64,5.45,47.59K,0.00%
02/16/2023,5.56,5.69,5.74,5.55,181.49K,-1.24%
02/15/2023,5.63,5.64,5.65,5.56,118.38K,0.90%
02/14/2023,5.58,5.65,5.75,5.55,1.51M,-2.11%
02/13/2023,5.7,5.8,5.8,5.66,1.41M,-1.04%
02/12/2023,5.76,5.79,5.79,5.52,732.26K,0.00%
02/09/2023,5.76,5.41,5.8,5.41,2.05M,4.73%
02/08/2023,5.5,5.58,5.58,5.4,493.30K,-0.54%
02/07/2023,5.53,5.51,5.69,5.42,1.98M,0.55%
02/06/2023,5.5,5.27,5.55,5.15,1.11M,3.97%
02/05/2023,5.29,5.3,5.38,5.04,221.71K,-0.38%
02/02/2023,5.31,5.59,5.74,5.05,3.47M,-5.52%
02/01/2023,5.62,5.8,5.8,5.45,2.88M,-1.23%
01/31/2023,5.69,5.68,5.83,5.6,2.61M,-0.87%
01/30/2023,5.74,5.95,5.97,5.6,1.02M,-2.71%
01/29/2023,5.9,5.5,5.9,5.5,5.83M,7.27%
01/25/2023,5.5,5.35,5.51,5.35,1.25M,2.80%
01/24/2023,5.35,5.5,5.5,5.3,696.98K,-2.73%
01/23/2023,5.5,5.37,5.52,5.25,987.71K,4.76%
01/22/2023,5.25,5.4,5.42,5.25,430.32K,-1.13%
01/19/2023,5.31,5.19,5.6,5.1,5.21M,3.91%
01/18/2023,5.11,5.1,5.23,5.09,1.40M,-0.20%
01/17/2023,5.12,5.1,5.14,5.04,531.78K,1.19%
01/16/2023,5.06,5.1,5.15,5.03,110.34K,-1.17%
01/15/2023,5.12,5.09,5.18,5.02,210.99K,0.59%
01/12/2023,5.09,5.19,5.24,4.97,1.89M,-3.23%
01/11/2023,5.26,4.95,5.33,4.95,1.46M,7.35%
01/10/2023,4.9,5.14,5.19,4.81,349.58K,-2.97%
01/09/2023,5.05,5.19,5.29,5.0,385.77K,-1.37%
01/05/2023,5.12,5.33,5.38,5.05,679.95K,-3.40%
01/04/2023,5.3,5.3,5.33,4.95,769.31K,0.38%
01/03/2023,5.28,5.39,5.39,5.26,174.21K,-1.86%
01/02/2023,5.38,5.32,5.4,5.21,978.96K,1.13%
12/29/2022,5.32,5.35,5.35,5.2,3.82M,0.38%
12/28/2022,5.3,5.19,5.33,5.12,3.38M,2.51%
12/27/2022,5.17,5.05,5.2,5.01,733.03K,2.78%
12/26/2022,5.03,4.86,5.06,4.86,552.56K,2.44%
12/25/2022,4.91,4.99,4.99,4.75,2.68M,0.00%
12/22/2022,4.91,4.97,5.03,4.88,1.62M,0.00%
12/21/2022,4.91,5.06,5.09,4.9,2.33M,-2.77%
12/20/2022,5.05,5.04,5.08,4.95,1.72M,1.20%
12/19/2022,4.99,5.09,5.09,4.87,1.17M,-0.99%
12/18/2022,5.04,5.1,5.1,4.94,1.13M,0.60%
12/15/2022,5.01,4.85,5.1,4.8,4.56M,3.94%
12/14/2022,4.82,4.84,4.9,4.73,2.89M,-0.21%
12/13/2022,4.83,4.85,4.89,4.75,1.64M,1.90%
12/12/2022,4.74,4.78,4.89,4.73,2.02M,-2.27%
12/11/2022,4.85,4.88,4.93,4.77,923.80K,0.00%
12/08/2022,4.85,4.78,4.85,4.63,4.63M,1.46%
12/07/2022,4.78,4.7,4.9,4.7,2.50M,1.70%
12/06/2022,4.7,4.68,4.75,4.62,587.04K,0.21%
12/05/2022,4.69,4.64,4.8,4.58,2.45M,1.96%
