Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,50.65,50.98,51.0,50.65,2.55M,-0.04%
08/08/2023,50.67,50.65,51.25,50.6,10.63M,0.06%
08/07/2023,50.64,50.97,51.0,50.6,6.91M,-0.22%
08/06/2023,50.75,51.1,51.1,50.61,1.93M,-0.29%
08/03/2023,50.9,50.82,51.2,50.6,1.98M,-0.53%
08/02/2023,51.17,50.6,51.2,50.5,4.60M,0.73%
08/01/2023,50.8,50.5,50.8,50.5,10.37M,0.59%
07/31/2023,50.5,51.0,51.13,50.48,11.47M,-0.49%
07/30/2023,50.75,51.16,51.3,50.72,1.60M,-0.84%
07/27/2023,51.18,50.89,51.25,50.62,3.46M,0.69%
07/26/2023,50.83,51.0,51.66,50.83,4.27M,-0.82%
07/25/2023,51.25,51.12,52.0,50.7,9.74M,0.49%
07/24/2023,51.0,50.6,51.39,50.59,5.16M,1.29%
07/19/2023,50.35,50.1,50.38,49.9,5.67M,0.50%
07/18/2023,50.1,50.09,50.69,49.72,4.26M,0.20%
07/17/2023,50.0,49.5,51.05,49.3,7.07M,1.01%
07/16/2023,49.5,50.0,50.0,49.5,453.82K,-0.20%
07/13/2023,49.6,49.2,50.33,49.1,3.03M,0.81%
07/12/2023,49.2,48.89,49.59,48.33,4.35M,0.63%
07/11/2023,48.89,48.55,49.2,47.91,6.66M,1.01%
07/10/2023,48.4,47.65,48.55,47.26,7.65M,1.57%
07/09/2023,47.65,48.28,48.75,47.6,1.88M,-1.24%
07/06/2023,48.25,49.5,49.5,48.02,7.63M,-2.51%
07/05/2023,49.49,50.0,50.3,49.32,4.30M,-1.00%
07/04/2023,49.99,51.0,51.4,49.61,5.81M,-1.98%
06/26/2023,51.0,49.2,51.25,49.2,4.64M,4.08%
06/25/2023,49.0,51.3,51.3,48.93,6.10M,-4.50%
06/22/2023,51.31,51.59,51.63,51.11,2.58M,-0.56%
06/21/2023,51.6,51.8,52.0,51.26,3.64M,-0.69%
06/20/2023,51.96,52.35,52.5,51.5,3.65M,-0.67%
06/19/2023,52.31,53.0,53.22,52.04,7.70M,-1.12%
06/18/2023,52.9,53.0,53.21,52.66,2.09M,-0.19%
06/15/2023,53.0,52.7,53.0,52.22,2.59M,0.55%
06/14/2023,52.71,52.15,52.97,52.11,5.16M,1.15%
06/13/2023,52.11,52.35,52.65,52.0,12.64M,-0.71%
06/12/2023,52.48,53.27,53.49,52.12,2.29M,-1.41%
06/11/2023,53.23,52.9,53.69,52.9,2.42M,0.43%
06/08/2023,53.0,52.0,53.0,52.0,5.38M,0.95%
06/07/2023,52.5,52.45,52.88,52.01,5.56M,0.19%
06/06/2023,52.4,52.11,53.0,52.1,3.21M,0.67%
06/05/2023,52.05,52.6,52.99,52.0,7.55M,-0.36%
06/04/2023,52.24,52.6,53.19,52.21,2.77M,-0.68%
06/01/2023,52.6,52.36,52.89,52.11,2.20M,0.57%
05/31/2023,52.3,52.39,53.0,52.27,5.92M,-0.38%
05/30/2023,52.5,51.75,52.6,51.72,4.65M,1.51%
05/29/2023,51.72,52.28,52.28,51.53,3.89M,-0.60%
05/28/2023,52.03,52.4,52.8,52.02,1.11M,-0.52%
05/25/2023,52.3,52.5,53.19,52.3,3.34M,-0.38%
05/24/2023,52.5,52.1,52.65,52.01,2.38M,0.86%
05/23/2023,52.05,51.76,52.2,51.76,2.52M,0.10%
05/22/2023,52.0,51.8,52.5,51.72,4.90M,0.58%
05/21/2023,51.7,51.79,51.93,51.25,2.68M,1.17%
05/18/2023,51.1,52.5,52.73,51.1,9.82M,-2.67%
05/17/2023,52.5,52.0,52.89,51.75,5.74M,0.96%
05/16/2023,52.0,52.1,52.2,51.5,4.31M,0.00%
05/15/2023,52.0,52.4,53.0,51.81,7.06M,-0.29%
05/14/2023,52.15,51.99,52.28,50.7,3.43M,0.66%
05/11/2023,51.81,52.49,52.6,51.2,6.93M,-1.13%
05/10/2023,52.4,52.12,52.77,52.0,3.81M,0.58%
05/09/2023,52.1,53.4,54.05,51.5,8.17M,-2.07%
05/08/2023,53.2,53.0,53.21,52.8,1.92M,0.36%
05/07/2023,53.01,53.11,53.25,52.76,2.41M,-0.19%
05/03/2023,53.11,52.88,53.25,52.6,4.42M,0.68%
05/02/2023,52.75,52.9,53.15,52.56,3.68M,-0.47%
05/01/2023,53.0,53.7,53.75,52.6,4.71M,-1.51%
04/30/2023,53.81,53.95,55.26,53.15,4.73M,0.77%
04/27/2023,53.4,52.42,54.08,52.4,4.06M,1.91%
04/26/2023,52.4,53.71,53.9,52.15,8.69M,-2.24%
