Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,18.2,18.3,18.34,17.99,850.07K,2.25%
08/08/2023,17.8,18.33,18.7,17.8,777.22K,-2.84%
08/07/2023,18.32,18.35,18.74,18.06,1.18M,0.33%
08/06/2023,18.26,18.27,18.45,17.8,833.07K,2.87%
08/03/2023,17.75,18.25,18.5,17.75,290.97K,-1.39%
08/02/2023,18.0,17.95,18.29,17.66,2.45M,2.56%
08/01/2023,17.55,18.7,18.7,17.42,1.05M,-6.05%
07/31/2023,18.68,18.7,19.0,18.5,1.16M,-0.90%
07/30/2023,18.85,17.5,19.0,17.41,676.62K,8.65%
07/27/2023,17.35,17.85,18.45,17.3,945.32K,-2.20%
07/26/2023,17.74,18.4,18.5,17.74,711.75K,-2.95%
07/25/2023,18.28,18.55,18.99,18.15,400.07K,-1.88%
07/24/2023,18.63,19.0,19.0,18.35,264.10K,-1.90%
07/19/2023,18.99,19.3,19.3,18.71,149.80K,-1.09%
07/18/2023,19.2,19.29,19.3,19.09,2.00M,0.37%
07/17/2023,19.13,18.9,19.41,18.72,1.04M,1.16%
07/16/2023,18.91,19.15,19.25,18.62,189.74K,-0.47%
07/13/2023,19.0,18.45,19.3,18.36,413.27K,4.17%
07/12/2023,18.24,18.65,18.65,18.15,2.35M,0.50%
07/11/2023,18.15,18.85,18.9,18.01,1.84M,-2.68%
07/10/2023,18.65,19.0,19.0,18.26,1.72M,-2.41%
07/09/2023,19.11,19.7,19.7,18.5,70.63K,-0.47%
07/06/2023,19.2,19.99,19.99,19.01,268.64K,-3.03%
07/05/2023,19.8,20.68,20.99,19.7,201.75K,-4.26%
07/04/2023,20.68,21.34,21.34,19.61,1.18M,-3.09%
06/26/2023,21.34,20.9,21.34,20.35,1.14M,1.62%
06/25/2023,21.0,20.8,21.0,20.1,1.05M,0.00%
06/22/2023,21.0,21.24,21.24,20.5,1.47M,0.00%
06/21/2023,21.0,21.38,21.38,20.9,443.63K,-1.78%
06/20/2023,21.38,21.0,21.58,20.91,275.26K,1.57%
06/19/2023,21.05,21.0,21.74,20.85,866.33K,-0.09%
06/18/2023,21.07,20.39,21.41,20.02,296.96K,5.35%
06/15/2023,20.0,19.5,20.0,19.25,1.17M,3.90%
06/14/2023,19.25,19.0,19.49,18.75,1.64M,1.48%
06/13/2023,18.97,18.85,19.0,18.75,1.88M,0.21%
06/12/2023,18.93,18.8,19.0,18.75,617.42K,0.96%
06/11/2023,18.75,18.9,18.9,18.71,390.90K,-0.42%
06/08/2023,18.83,18.64,19.0,18.36,1.61M,1.02%
06/07/2023,18.64,19.0,19.0,18.25,917.88K,-1.89%
06/06/2023,19.0,18.32,19.1,18.32,3.62M,4.68%
06/05/2023,18.15,18.8,18.8,18.15,672.84K,-1.25%
06/04/2023,18.38,19.4,19.4,18.25,77.13K,-3.26%
06/01/2023,19.0,19.72,19.72,18.33,477.73K,-0.37%
05/31/2023,19.07,19.0,19.8,19.0,2.39M,-0.21%
05/30/2023,19.11,18.35,19.25,18.31,373.41K,3.41%
05/29/2023,18.48,17.95,18.49,17.56,494.54K,2.67%
05/28/2023,18.0,17.6,18.1,17.3,146.66K,1.93%
05/25/2023,17.66,17.01,18.3,17.01,278.87K,-1.89%
05/24/2023,18.0,16.9,18.0,16.61,568.78K,6.51%
05/23/2023,16.9,16.95,17.05,16.7,73.57K,0.84%
05/22/2023,16.76,17.2,17.2,16.45,161.59K,-3.07%
05/21/2023,17.29,16.2,17.39,16.2,453.30K,6.73%
05/18/2023,16.2,15.8,16.2,15.4,1.28M,3.32%
05/17/2023,15.68,15.85,16.2,15.25,560.62K,-1.38%
05/16/2023,15.9,16.0,16.2,15.8,668.02K,-0.63%
05/15/2023,16.0,16.5,16.85,16.0,556.11K,-3.73%
05/14/2023,16.62,16.6,16.8,16.5,88.71K,0.12%
05/11/2023,16.6,16.92,16.98,16.3,518.47K,-1.31%
05/10/2023,16.82,16.9,17.0,16.7,103.23K,-0.47%
05/09/2023,16.9,16.93,17.1,16.86,316.01K,0.00%
05/08/2023,16.9,17.0,17.1,16.75,982.90K,0.96%
05/07/2023,16.74,17.05,17.2,16.69,185.02K,-1.82%
05/03/2023,17.05,17.4,17.49,17.05,110.20K,-2.01%
05/02/2023,17.4,17.4,17.58,17.0,1.18M,0.12%
05/01/2023,17.38,17.13,17.45,16.75,570.76K,1.46%
04/30/2023,17.13,17.5,17.7,16.9,226.33K,-1.55%
04/27/2023,17.4,17.35,17.61,17.08,850.38K,0.29%
04/26/2023,17.35,17.0,17.35,16.9,286.88K,2.00%
04/19/2023,17.01,17.29,17.3,16.8,742.04K,0.06%
04/18/2023,17.0,17.0,17.3,16.95,610.74K,0.12%
04/13/2023,16.98,17.0,17.24,16.81,156.47K,0.59%
04/12/2023,16.88,17.39,17.39,16.75,612.12K,-3.49%
04/11/2023,17.49,16.65,17.49,16.56,634.40K,6.19%
04/10/2023,16.47,16.47,16.7,16.41,43.07K,0.12%
04/09/2023,16.45,16.69,16.8,16.4,129.95K,-0.48%
04/06/2023,16.53,16.85,16.99,16.52,82.75K,-2.48%
04/05/2023,16.95,17.0,17.0,16.5,350.51K,-0.29%
04/04/2023,17.0,17.5,17.5,16.5,479.99K,-2.69%
04/03/2023,17.47,17.4,17.98,17.3,1.51M,0.98%
04/02/2023,17.3,17.55,17.55,17.01,347.08K,-1.14%
03/30/2023,17.5,17.5,17.5,16.02,1.24M,0.00%
03/29/2023,17.5,16.48,17.5,15.85,1.56M,6.12%
03/28/2023,16.49,15.85,16.59,15.61,998.47K,4.30%
03/27/2023,15.81,14.8,17.49,14.69,2.97M,7.40%
03/26/2023,14.72,14.55,15.0,14.4,760.46K,3.88%
03/23/2023,14.17,13.52,14.4,13.52,779.09K,2.16%
03/22/2023,13.87,13.68,13.87,13.5,1.27M,2.51%
03/21/2023,13.53,13.55,13.66,13.35,645.06K,1.35%
03/20/2023,13.35,13.36,13.57,13.2,792.87K,-0.07%
03/19/2023,13.36,13.7,13.7,12.8,437.57K,0.45%
03/16/2023,13.3,14.24,14.24,13.3,11.14M,-6.34%
03/15/2023,14.2,14.15,14.4,13.95,2.39M,2.38%
03/14/2023,13.87,14.11,14.3,13.87,4.30M,-1.00%
03/13/2023,14.01,14.66,14.7,13.85,4.89M,-3.38%
03/12/2023,14.5,15.3,15.3,14.0,1.27M,-4.67%
03/09/2023,15.21,15.48,15.64,15.21,3.46M,0.40%
03/08/2023,15.15,17.0,17.0,15.0,3.13M,-10.88%
03/07/2023,17.0,17.6,17.99,16.25,528.18K,-3.41%
03/06/2023,17.6,18.24,18.24,17.55,663.72K,-1.90%
03/05/2023,17.94,18.3,18.3,17.8,27.71K,-0.33%
03/02/2023,18.0,18.8,18.8,18.0,4.13M,-4.71%
03/01/2023,18.89,18.52,18.89,18.01,2.25M,2.00%
02/28/2023,18.52,18.24,18.52,17.8,2.96M,2.04%
02/27/2023,18.15,17.7,18.24,17.68,1.05M,0.83%
02/26/2023,18.0,18.05,18.05,17.8,57.62K,0.00%
02/23/2023,18.0,18.05,18.05,17.65,915.09K,0.00%
02/22/2023,18.0,17.99,18.0,17.0,1.74M,0.06%
02/21/2023,17.99,18.0,18.0,17.77,2.20M,0.00%
02/20/2023,17.99,18.08,18.08,17.96,352.83K,-0.83%
02/19/2023,18.14,18.14,18.19,18.0,9.67K,0.00%
02/16/2023,18.14,18.22,18.22,18.0,813.87K,0.78%
02/15/2023,18.0,17.98,18.18,17.8,842.31K,-0.28%
02/14/2023,18.05,18.2,18.2,18.0,424.07K,0.28%
02/13/2023,18.0,18.21,18.21,17.84,1.83M,0.00%
02/12/2023,18.0,18.15,18.5,18.0,2.11M,-0.99%
02/09/2023,18.18,18.1,18.55,17.7,1.01M,0.89%
02/08/2023,18.02,18.0,18.1,17.8,2.36M,-0.17%
02/07/2023,18.05,17.51,18.19,17.51,2.71M,1.40%
