Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,17.2,17.33,17.5,17.16,693.78K,-0.75%
08/08/2023,17.33,17.61,17.76,17.31,306.84K,-1.53%
08/07/2023,17.6,17.51,17.7,17.5,187.90K,0.46%
08/06/2023,17.52,17.48,17.6,17.35,243.07K,0.23%
08/03/2023,17.48,17.7,17.7,17.4,89.21K,-0.85%
08/02/2023,17.63,17.85,17.91,17.3,278.01K,-1.67%
08/01/2023,17.93,17.9,18.05,17.75,675.49K,-0.28%
07/31/2023,17.98,17.6,17.98,17.51,432.62K,1.64%
07/30/2023,17.69,17.35,17.84,17.35,280.50K,0.68%
07/27/2023,17.57,17.72,17.8,17.25,162.54K,-0.85%
07/26/2023,17.72,17.8,17.8,17.5,82.07K,-0.11%
07/25/2023,17.74,17.97,17.97,17.63,387.46K,-0.11%
07/24/2023,17.76,17.75,18.01,17.53,749.56K,0.85%
07/19/2023,17.61,17.8,17.8,17.6,144.60K,-0.62%
07/18/2023,17.72,17.85,18.0,17.61,338.12K,-0.06%
07/17/2023,17.73,17.17,17.9,17.0,1.59M,3.68%
07/16/2023,17.1,17.01,17.1,16.8,223.10K,0.59%
07/13/2023,17.0,16.9,17.1,16.9,328.77K,1.01%
07/12/2023,16.83,17.19,17.19,16.8,62.38K,-0.41%
07/11/2023,16.9,16.99,17.2,16.75,236.81K,0.12%
07/10/2023,16.88,16.69,16.94,16.31,313.33K,1.14%
07/09/2023,16.69,17.0,17.0,16.62,539.59K,-1.01%
07/06/2023,16.86,17.0,17.0,16.6,259.29K,0.36%
07/05/2023,16.8,17.3,17.3,16.79,527.35K,-2.67%
07/04/2023,17.26,17.1,17.5,17.1,104.80K,1.17%
06/26/2023,17.06,17.1,17.25,17.01,167.61K,0.29%
06/25/2023,17.01,17.24,17.5,17.0,242.88K,-1.22%
06/22/2023,17.22,17.45,17.5,17.1,292.49K,-1.49%
06/21/2023,17.48,17.61,17.75,17.43,496.31K,-0.74%
06/20/2023,17.61,17.67,18.0,17.6,399.16K,-0.79%
06/19/2023,17.75,17.77,17.9,17.6,345.92K,0.06%
06/18/2023,17.74,17.8,17.95,17.7,108.01K,-0.73%
06/15/2023,17.87,17.75,17.93,17.62,183.41K,0.96%
06/14/2023,17.7,18.29,18.29,17.7,811.08K,-1.83%
06/13/2023,18.03,18.0,18.2,17.83,686.28K,0.22%
06/12/2023,17.99,18.3,18.39,17.99,262.77K,-1.69%
06/11/2023,18.3,18.05,18.5,18.0,531.51K,1.67%
06/08/2023,18.0,17.8,18.14,17.64,411.46K,0.84%
06/07/2023,17.85,18.32,18.5,17.8,1.00M,-2.46%
06/06/2023,18.3,17.63,18.32,17.63,2.36M,3.68%
06/05/2023,17.65,17.55,17.9,17.5,536.77K,0.97%
06/04/2023,17.48,17.7,17.9,17.32,469.11K,-1.19%
06/01/2023,17.69,17.8,17.9,17.65,183.56K,-0.11%
05/31/2023,17.71,17.8,18.17,17.7,1.84M,-0.28%
05/30/2023,17.76,17.62,18.05,17.61,826.31K,0.85%
05/29/2023,17.61,17.77,17.77,17.51,189.35K,-0.40%
05/28/2023,17.68,17.9,17.96,17.65,345.61K,-1.17%
05/25/2023,17.89,17.72,17.98,17.65,894.77K,0.96%
05/24/2023,17.72,17.2,17.78,17.2,584.09K,3.32%
05/23/2023,17.15,17.3,17.3,16.8,204.01K,0.35%
05/22/2023,17.09,17.1,17.39,17.05,138.72K,0.12%
05/21/2023,17.07,17.48,17.48,17.04,141.59K,-1.73%
05/18/2023,17.37,17.14,17.39,17.0,217.82K,1.34%
05/17/2023,17.14,17.06,17.15,16.87,280.84K,0.47%
05/16/2023,17.06,17.2,17.3,16.81,195.43K,-0.81%
05/15/2023,17.2,17.45,17.64,17.15,471.42K,-1.38%
05/14/2023,17.44,17.25,17.46,17.02,303.18K,1.69%
05/11/2023,17.15,17.7,17.8,17.15,883.03K,-2.94%
05/10/2023,17.67,17.83,17.83,17.45,342.73K,0.40%
05/09/2023,17.6,18.2,18.24,17.5,933.26K,-2.22%
05/08/2023,18.0,17.5,18.1,17.5,1.01M,1.69%
05/07/2023,17.7,17.88,17.88,17.35,307.03K,-1.01%
05/03/2023,17.88,18.16,18.48,17.8,488.86K,-2.30%
05/02/2023,18.3,18.33,18.41,18.11,348.74K,-0.60%
05/01/2023,18.41,18.6,18.81,18.2,609.94K,-1.34%
04/30/2023,18.66,19.01,19.2,18.41,2.04M,-1.74%
04/27/2023,18.99,18.69,19.02,18.69,2.15M,1.82%
04/26/2023,18.65,19.2,19.2,18.55,1.25M,-2.86%
04/19/2023,19.2,18.3,19.4,18.3,3.96M,5.21%
04/18/2023,18.25,17.69,18.37,17.62,1.80M,3.17%
04/13/2023,17.69,17.35,17.87,17.31,398.02K,0.68%
04/12/2023,17.57,17.53,17.8,17.3,667.65K,0.23%
04/11/2023,17.53,17.45,17.62,17.3,309.91K,0.75%
04/10/2023,17.4,17.4,17.45,17.13,300.83K,0.81%
04/09/2023,17.26,17.45,17.5,17.0,3.62M,-1.09%
04/06/2023,17.45,17.7,17.8,17.01,232.92K,-0.91%
04/05/2023,17.61,17.66,17.99,17.55,196.96K,-0.28%
04/04/2023,17.66,17.94,18.0,17.55,393.11K,-1.78%
04/03/2023,17.98,17.75,18.1,17.7,939.12K,1.30%
04/02/2023,17.75,17.5,17.75,17.01,346.64K,2.96%
03/30/2023,17.24,18.0,18.1,17.07,2.12M,-2.05%
03/29/2023,17.6,16.9,17.98,16.9,1.34M,3.53%
03/28/2023,17.0,17.4,17.4,16.5,294.39K,-0.23%
03/27/2023,17.04,17.1,17.51,16.81,779.44K,-0.35%
03/26/2023,17.1,16.8,17.38,16.61,608.86K,1.97%
03/23/2023,16.77,16.19,17.39,15.93,268.08K,3.58%
03/22/2023,16.19,16.05,16.38,16.0,958.69K,0.87%
03/21/2023,16.05,16.0,16.15,15.6,599.73K,3.08%
03/20/2023,15.57,14.8,15.8,14.68,852.40K,6.06%
03/19/2023,14.68,14.6,14.99,14.31,423.05K,0.55%
03/16/2023,14.6,14.4,15.2,14.4,611.04K,3.11%
03/15/2023,14.16,16.25,16.48,14.16,1.32M,-11.17%
03/14/2023,15.94,16.29,16.3,15.3,936.28K,-2.15%
03/13/2023,16.29,16.19,16.59,15.15,965.12K,1.43%
03/12/2023,16.06,17.5,17.5,16.0,835.56K,-7.81%
03/09/2023,17.42,17.3,17.49,17.05,349.56K,0.52%
03/08/2023,17.33,17.51,17.6,16.9,944.60K,-0.91%
03/07/2023,17.49,18.11,18.15,16.99,1.82M,-3.64%
03/06/2023,18.15,18.31,18.49,18.12,186.53K,-0.87%
03/05/2023,18.31,18.41,18.64,18.11,218.78K,-0.54%
03/02/2023,18.41,18.6,18.9,18.28,1.05M,-1.02%
03/01/2023,18.6,18.6,18.6,18.22,736.72K,0.00%
02/28/2023,18.6,18.21,18.6,18.0,2.14M,2.14%
02/27/2023,18.21,18.15,18.45,18.0,2.31M,0.77%
02/26/2023,18.07,17.65,18.2,17.65,2.11M,1.35%
02/23/2023,17.83,17.99,18.05,17.6,322.43K,-0.50%
02/22/2023,17.92,18.29,18.35,17.85,1.28M,-1.38%
02/21/2023,18.17,18.0,18.27,17.71,817.57K,0.66%
02/20/2023,18.05,18.4,18.6,18.0,1.02M,-1.85%
