Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,2.75,2.74,2.77,2.74,157.64K,0.36%
08/08/2023,2.74,2.74,2.77,2.73,516.48K,-0.36%
08/07/2023,2.75,2.77,2.77,2.73,287.96K,0.36%
08/06/2023,2.74,2.71,2.76,2.7,291.83K,0.00%
08/03/2023,2.74,2.74,2.77,2.72,469.30K,0.37%
08/02/2023,2.73,2.69,2.84,2.68,2.12M,1.11%
08/01/2023,2.7,2.67,2.75,2.64,442.75K,1.89%
07/31/2023,2.65,2.6,2.66,2.6,476.72K,0.00%
07/30/2023,2.65,2.66,2.67,2.6,202.67K,0.38%
07/27/2023,2.64,2.63,2.66,2.6,351.55K,0.38%
07/26/2023,2.63,2.63,2.63,2.56,322.52K,2.73%
07/25/2023,2.56,2.59,2.6,2.55,392.30K,-1.16%
07/24/2023,2.59,2.6,2.64,2.58,334.19K,-0.77%
07/19/2023,2.61,2.64,2.69,2.61,967.69K,0.00%
07/18/2023,2.61,2.6,2.65,2.6,293.79K,0.00%
07/17/2023,2.61,2.67,2.69,2.6,469.19K,-1.14%
07/16/2023,2.64,2.78,2.78,2.62,929.51K,-2.22%
07/13/2023,2.7,2.68,2.78,2.66,1.97M,2.66%
07/12/2023,2.63,2.72,2.72,2.62,1.86M,-1.13%
07/11/2023,2.66,2.49,2.9,2.47,6.33M,8.57%
07/10/2023,2.45,2.48,2.48,2.44,267.49K,-1.61%
07/09/2023,2.49,2.5,2.5,2.47,606.33K,-0.40%
07/06/2023,2.5,2.46,2.51,2.44,386.90K,1.63%
07/05/2023,2.46,2.42,2.5,2.4,401.82K,1.23%
07/04/2023,2.43,2.44,2.45,2.4,391.82K,1.25%
06/26/2023,2.4,2.39,2.4,2.38,175.73K,0.00%
06/25/2023,2.4,2.45,2.45,2.37,290.78K,0.00%
06/22/2023,2.4,2.39,2.43,2.39,459.45K,0.00%
06/21/2023,2.4,2.46,2.47,2.4,872.85K,-2.44%
06/20/2023,2.46,2.47,2.48,2.45,500.84K,0.41%
06/19/2023,2.45,2.49,2.5,2.42,1.52M,-1.21%
06/18/2023,2.48,2.44,2.49,2.44,291.22K,1.22%
06/15/2023,2.45,2.5,2.5,2.44,1.31M,-1.61%
06/14/2023,2.49,2.53,2.55,2.45,3.33M,-1.97%
06/13/2023,2.54,2.59,2.59,2.53,1.30M,-0.78%
06/12/2023,2.56,2.55,2.61,2.55,573.17K,0.39%
06/11/2023,2.55,2.55,2.59,2.53,2.83M,0.39%
06/08/2023,2.54,2.53,2.6,2.53,1.09M,0.40%
06/07/2023,2.53,2.6,2.62,2.53,1.87M,-1.56%
06/06/2023,2.57,2.6,2.64,2.56,1.44M,-0.39%
06/05/2023,2.58,2.53,2.65,2.53,3.35M,1.98%
06/04/2023,2.53,2.55,2.57,2.5,1.69M,0.00%
06/01/2023,2.53,2.5,2.53,2.49,1.39M,1.20%
05/31/2023,2.5,2.54,2.58,2.48,2.28M,-1.96%
05/30/2023,2.55,2.55,2.6,2.52,3.04M,1.19%
05/29/2023,2.52,2.54,2.55,2.44,5.80M,0.40%
05/28/2023,2.51,2.55,2.55,2.48,1.89M,0.00%
05/25/2023,2.51,2.56,2.57,2.47,4.61M,0.00%
05/24/2023,2.51,2.45,2.6,2.43,4.85M,3.72%
05/23/2023,2.42,2.47,2.47,2.4,484.42K,-0.41%
05/22/2023,2.43,2.47,2.47,2.43,283.72K,-0.41%
05/21/2023,2.44,2.47,2.47,2.4,344.04K,1.24%
05/18/2023,2.41,2.39,2.47,2.39,809.25K,0.42%
05/17/2023,2.4,2.42,2.45,2.38,874.06K,-0.41%
05/16/2023,2.41,2.45,2.45,2.4,552.80K,-0.41%
05/15/2023,2.42,2.5,2.5,2.42,543.82K,-1.63%
05/14/2023,2.46,2.5,2.5,2.43,881.87K,0.82%
05/11/2023,2.44,2.47,2.52,2.42,909.63K,-0.41%
05/10/2023,2.45,2.52,2.52,2.4,381.71K,-1.61%
05/09/2023,2.49,2.6,2.64,2.45,1.26M,-3.49%
05/08/2023,2.58,2.45,2.62,2.45,1.76M,4.88%
05/07/2023,2.46,2.52,2.55,2.4,1.24M,-1.20%
05/03/2023,2.49,2.59,2.6,2.47,1.21M,-2.35%
05/02/2023,2.55,2.51,2.62,2.49,1.30M,3.24%
05/01/2023,2.47,2.6,2.67,2.46,1.36M,-3.89%
04/30/2023,2.57,2.7,2.7,2.55,1.68M,-3.02%
04/27/2023,2.65,2.72,2.75,2.63,4.45M,-1.49%
04/26/2023,2.69,2.49,2.75,2.47,13.26M,9.35%
04/19/2023,2.46,2.37,2.49,2.37,1.32M,5.13%
04/18/2023,2.34,2.39,2.45,2.32,860.33K,-1.27%
04/13/2023,2.37,2.45,2.47,2.35,1.20M,-1.25%
04/12/2023,2.4,2.45,2.53,2.4,2.78M,-0.41%
04/11/2023,2.41,2.37,2.45,2.37,1.55M,1.26%
04/10/2023,2.38,2.52,2.52,2.37,4.30M,-3.64%
04/09/2023,2.47,2.47,2.58,2.37,4.14M,0.37%
04/06/2023,2.461,2.336,2.598,2.3,10.88M,7.42%
04/05/2023,2.291,2.17,2.34,2.122,6.68M,6.56%
04/04/2023,2.15,2.07,2.17,2.051,3.28M,5.08%
04/03/2023,2.046,1.99,2.064,1.99,1.48M,2.97%
04/02/2023,1.987,1.921,2.02,1.921,459.04K,1.74%
03/30/2023,1.953,1.95,2.0,1.9,780.25K,0.46%
03/29/2023,1.944,1.914,1.95,1.911,758.79K,1.04%
03/28/2023,1.924,1.951,1.96,1.915,1.40M,-1.33%
03/27/2023,1.95,1.964,1.98,1.933,717.01K,-0.20%
03/26/2023,1.954,1.954,1.969,1.943,787.18K,1.40%
03/23/2023,1.927,1.908,1.95,1.901,300.55K,1.00%
03/22/2023,1.908,1.947,1.97,1.891,1.21M,0.37%
