Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,0.97,0.96,0.985,0.958,414.29K,1.04%
08/08/2023,0.96,0.966,0.969,0.958,126.56K,-0.72%
08/07/2023,0.967,0.975,0.975,0.966,57.18K,-0.31%
08/06/2023,0.97,0.975,0.978,0.969,95.41K,-0.21%
08/03/2023,0.972,0.978,0.992,0.97,237.64K,-0.10%
08/02/2023,0.973,0.987,0.987,0.971,173.08K,-1.22%
08/01/2023,0.985,0.988,0.99,0.984,76.10K,-0.10%
07/31/2023,0.986,0.99,0.995,0.985,37.99K,-0.30%
07/30/2023,0.989,0.99,0.99,0.981,112.37K,0.41%
07/27/2023,0.985,0.998,0.999,0.985,276.80K,-1.40%
07/26/2023,0.999,1.0,1.0,0.999,97.93K,0.30%
07/25/2023,0.996,1.01,1.01,0.995,150.28K,-1.39%
07/24/2023,1.01,1.021,1.025,1.008,144.44K,-0.59%
07/19/2023,1.016,1.018,1.019,1.015,213.72K,0.10%
07/18/2023,1.015,1.02,1.023,1.014,440.55K,-0.49%
07/17/2023,1.02,1.018,1.022,1.016,278.51K,0.39%
07/16/2023,1.016,1.015,1.019,1.012,149.68K,0.49%
07/13/2023,1.011,1.011,1.014,1.01,106.62K,0.00%
07/12/2023,1.011,1.013,1.014,1.011,68.18K,-0.10%
07/11/2023,1.012,1.017,1.017,1.011,105.01K,-0.30%
07/10/2023,1.015,1.013,1.016,1.011,58.52K,0.10%
07/09/2023,1.014,1.017,1.017,1.012,19.25K,0.00%
07/06/2023,1.014,1.016,1.016,1.013,16.77K,0.10%
07/05/2023,1.013,1.015,1.016,1.012,81.88K,-0.20%
07/04/2023,1.015,1.018,1.023,1.013,36.90K,-0.39%
06/26/2023,1.019,1.019,1.021,1.018,356.25K,0.00%
06/25/2023,1.019,1.02,1.025,1.019,14.10K,-0.10%
06/22/2023,1.02,1.02,1.02,1.019,377.77K,-0.29%
06/21/2023,1.023,1.023,1.026,1.02,57.30K,0.10%
06/20/2023,1.022,1.021,1.026,1.02,66.24K,-0.39%
06/19/2023,1.026,1.02,1.027,1.019,162.09K,0.59%
06/18/2023,1.02,1.021,1.028,1.019,135.30K,0.00%
06/15/2023,1.02,1.029,1.03,1.02,216.34K,-0.97%
06/14/2023,1.03,1.022,1.03,1.022,51.38K,0.98%
06/13/2023,1.02,1.03,1.035,1.018,303.73K,-0.87%
06/12/2023,1.029,1.03,1.03,1.028,41.67K,-0.10%
06/11/2023,1.03,1.037,1.037,1.029,122.06K,-0.39%
06/08/2023,1.034,1.028,1.034,1.028,267.06K,0.58%
06/07/2023,1.028,1.033,1.036,1.028,262.32K,-0.19%
06/06/2023,1.03,1.03,1.034,1.029,296.76K,0.39%
06/05/2023,1.026,1.028,1.03,1.025,346.80K,-0.29%
06/04/2023,1.029,1.03,1.035,1.026,23.90K,0.49%
