Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,5.6,5.66,5.72,5.59,15.18M,-0.88%
08/08/2023,5.65,5.7,5.81,5.65,26.25M,0.00%
08/07/2023,5.65,5.54,5.72,5.54,18.48M,1.99%
08/06/2023,5.54,5.45,5.55,5.41,7.30M,1.84%
08/03/2023,5.44,5.42,5.49,5.39,6.37M,0.18%
08/02/2023,5.43,5.55,5.55,5.42,6.68M,-2.16%
08/01/2023,5.55,5.63,5.67,5.5,6.69M,-1.42%
07/31/2023,5.63,5.63,5.72,5.59,12.73M,0.00%
07/30/2023,5.63,5.55,5.64,5.52,7.40M,1.62%
07/27/2023,5.54,5.55,5.55,5.49,3.70M,0.36%
07/26/2023,5.52,5.5,5.57,5.48,6.86M,-0.72%
07/25/2023,5.56,5.67,5.68,5.52,10.05M,-1.77%
07/24/2023,5.66,5.72,5.76,5.65,6.21M,-0.88%
07/19/2023,5.71,5.73,5.77,5.68,7.29M,-0.17%
07/18/2023,5.72,5.65,5.75,5.65,8.35M,1.60%
07/17/2023,5.63,5.6,5.67,5.57,10.11M,0.72%
07/16/2023,5.59,5.65,5.67,5.57,4.38M,-1.06%
07/13/2023,5.65,5.48,5.73,5.46,12.45M,3.67%
07/12/2023,5.45,5.56,5.57,5.44,5.60M,-1.62%
07/11/2023,5.54,5.45,5.54,5.38,10.63M,2.03%
07/10/2023,5.43,5.39,5.43,5.29,5.84M,2.45%
07/09/2023,5.3,5.56,5.58,5.3,7.64M,-4.50%
07/06/2023,5.55,5.59,5.6,5.51,8.47M,-0.18%
07/05/2023,5.56,5.55,5.64,5.53,7.26M,0.72%
07/04/2023,5.52,5.66,5.69,5.49,7.19M,-1.78%
06/26/2023,5.62,5.49,5.66,5.49,10.93M,2.93%
06/25/2023,5.46,5.68,5.71,5.44,10.78M,-3.53%
06/22/2023,5.66,5.7,5.74,5.57,13.46M,-0.35%
06/21/2023,5.68,5.83,5.87,5.66,12.78M,-2.41%
06/20/2023,5.82,5.9,5.99,5.82,9.54M,-0.85%
06/19/2023,5.87,5.99,6.07,5.83,14.74M,-1.34%
06/18/2023,5.95,5.96,6.01,5.93,9.48M,0.34%
06/15/2023,5.93,6.09,6.1,5.87,20.13M,-2.15%
06/14/2023,6.06,6.17,6.29,5.95,35.35M,-1.14%
06/13/2023,6.13,6.08,6.23,6.05,41.59M,0.66%
06/12/2023,6.09,6.19,6.2,6.07,20.32M,-0.98%
