Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,12.26,11.8,12.68,11.8,18.57M,3.90%
08/08/2023,11.8,12.23,12.33,11.71,13.01M,-3.28%
08/07/2023,12.2,12.17,12.46,11.67,21.10M,0.66%
08/06/2023,12.12,10.9,12.15,10.81,23.83M,11.29%
08/03/2023,10.89,10.74,10.95,10.7,3.16M,1.59%
08/02/2023,10.72,10.71,11.0,10.7,3.75M,-0.74%
08/01/2023,10.8,11.07,11.13,10.66,4.17M,-2.61%
07/31/2023,11.09,10.74,11.1,10.62,4.46M,4.43%
07/30/2023,10.62,10.47,10.77,10.4,2.98M,1.53%
07/27/2023,10.46,10.53,10.6,10.44,1.90M,-0.66%
07/26/2023,10.53,10.5,10.62,10.36,2.91M,0.29%
07/25/2023,10.5,10.85,10.97,10.45,3.78M,-2.51%
07/24/2023,10.77,11.07,11.18,10.75,2.82M,-2.45%
07/19/2023,11.04,11.35,11.35,10.98,3.06M,-1.87%
07/18/2023,11.25,10.83,11.4,10.83,4.19M,5.53%
07/17/2023,10.66,10.76,10.92,10.66,2.19M,-0.84%
07/16/2023,10.75,10.47,10.75,10.27,2.21M,4.57%
07/13/2023,10.28,10.3,10.5,10.28,1.60M,0.39%
07/12/2023,10.24,10.73,10.73,10.2,1.85M,-3.12%
07/11/2023,10.57,10.25,10.57,9.92,2.45M,4.14%
07/10/2023,10.15,9.98,10.2,9.83,1.83M,3.57%
07/09/2023,9.8,10.88,10.92,9.75,1.45M,-9.59%
07/06/2023,10.84,11.25,11.3,10.82,1.46M,-2.52%
07/05/2023,11.12,11.2,11.3,11.07,1.40M,-0.27%
07/04/2023,11.15,11.3,11.51,11.11,1.55M,-2.62%
06/26/2023,11.45,11.2,11.5,11.1,2.51M,2.23%
06/25/2023,11.2,11.44,11.56,11.2,2.30M,-2.01%
06/22/2023,11.43,11.16,11.5,11.03,3.25M,2.51%
06/21/2023,11.15,11.46,11.55,11.1,2.13M,-2.53%
06/20/2023,11.44,11.36,11.65,11.28,3.76M,0.35%
06/19/2023,11.4,11.51,11.54,11.2,4.26M,-0.44%
06/18/2023,11.45,11.31,11.75,11.25,6.84M,1.51%
06/15/2023,11.28,10.95,11.28,10.85,4.91M,3.30%
06/14/2023,10.92,10.98,11.24,10.9,3.60M,-0.36%
06/13/2023,10.96,11.13,11.24,10.82,4.21M,-1.08%
06/12/2023,11.08,11.25,11.33,11.0,1.31M,-1.25%
06/11/2023,11.22,11.28,11.49,11.16,5.14M,0.36%
06/08/2023,11.18,10.9,11.49,10.86,8.40M,2.95%
06/07/2023,10.86,11.2,11.44,10.85,9.46M,-2.78%
06/06/2023,11.17,11.0,11.5,10.99,19.64M,6.79%
06/05/2023,10.46,10.58,10.76,10.38,4.04M,-0.38%
06/04/2023,10.5,10.66,10.8,10.42,6.14M,-0.85%
06/01/2023,10.59,10.11,10.66,10.0,9.57M,4.85%
05/31/2023,10.1,10.01,10.53,9.97,14.49M,1.00%
05/30/2023,10.0,9.72,10.14,9.66,9.88M,3.09%
05/29/2023,9.7,8.66,9.75,8.62,9.99M,11.75%
05/28/2023,8.68,8.63,8.73,8.56,1.60M,0.93%
05/25/2023,8.6,8.74,8.82,8.57,1.94M,-1.15%
05/24/2023,8.7,8.6,8.77,8.51,2.47M,3.20%
05/23/2023,8.43,8.5,8.55,8.2,2.01M,-0.59%
05/22/2023,8.48,8.63,8.84,8.45,2.72M,-1.40%
05/21/2023,8.6,8.67,8.72,8.58,1.32M,-0.35%
05/18/2023,8.63,8.65,8.7,8.3,2.75M,-0.46%
05/17/2023,8.67,8.91,8.95,8.6,2.31M,-1.92%
05/16/2023,8.84,9.12,9.15,8.71,4.50M,-3.91%
05/15/2023,9.2,9.42,9.55,9.07,2.15M,-2.23%
05/14/2023,9.41,9.45,9.5,9.29,2.08M,-0.11%
05/11/2023,9.42,9.68,9.73,9.4,2.99M,-2.38%
05/10/2023,9.65,9.65,9.66,9.45,4.20M,0.00%
05/09/2023,9.65,9.76,9.98,9.62,8.60M,0.21%
05/08/2023,9.63,9.45,9.69,9.4,4.11M,2.56%
05/07/2023,9.39,9.5,9.5,9.25,1.68M,-1.16%
05/03/2023,9.5,9.6,9.69,9.3,3.12M,-0.31%
05/02/2023,9.53,9.64,9.74,9.44,1.77M,-0.73%
05/01/2023,9.6,9.97,10.1,9.53,3.44M,-3.71%
04/30/2023,9.97,10.3,10.5,9.9,4.04M,-2.64%
04/27/2023,10.24,10.32,10.42,10.16,5.12M,1.39%
04/26/2023,10.1,10.07,10.19,9.81,4.11M,1.51%
04/19/2023,9.95,10.34,10.34,9.9,4.58M,-3.21%
04/18/2023,10.28,9.82,10.31,9.82,5.90M,4.26%
04/13/2023,9.86,9.55,10.03,9.54,8.71M,3.03%
04/12/2023,9.57,9.69,9.76,9.46,7.62M,-1.34%
04/11/2023,9.7,9.34,9.7,9.34,6.24M,5.21%
04/10/2023,9.22,9.01,9.29,9.0,2.46M,1.77%
04/09/2023,9.06,9.29,9.29,8.95,2.32M,-0.88%
04/06/2023,9.14,9.35,9.51,9.0,2.67M,-2.56%
04/05/2023,9.38,9.57,9.63,9.33,2.67M,-2.09%
04/04/2023,9.58,9.71,9.75,9.48,5.64M,-1.24%
04/03/2023,9.7,9.42,9.7,9.33,7.87M,2.65%
04/02/2023,9.45,8.94,9.46,8.82,10.84M,6.06%
03/30/2023,8.91,9.35,9.39,8.8,8.23M,-2.62%
03/29/2023,9.15,8.74,9.15,8.72,6.35M,4.69%
03/28/2023,8.74,8.77,8.88,8.46,2.39M,-0.68%
03/27/2023,8.8,8.98,9.19,8.57,6.25M,-1.57%
03/26/2023,8.94,7.95,9.0,7.95,8.51M,13.16%
03/23/2023,7.9,7.72,7.92,7.61,1.82M,2.46%
03/22/2023,7.71,8.04,8.1,7.68,3.41M,-3.02%
03/21/2023,7.95,7.82,8.06,7.8,4.43M,3.11%
03/20/2023,7.71,7.54,7.95,7.46,6.14M,3.35%
03/19/2023,7.46,7.5,7.6,7.13,3.16M,-0.40%
03/16/2023,7.49,7.03,7.61,6.56,4.92M,5.79%
03/15/2023,7.08,8.25,8.25,6.52,5.10M,-13.13%
03/14/2023,8.15,7.89,8.21,7.74,2.71M,3.56%
03/13/2023,7.87,8.54,8.65,7.72,4.30M,-6.86%
03/12/2023,8.45,9.0,9.01,8.45,3.39M,-6.63%
03/09/2023,9.05,8.83,9.09,8.82,3.08M,2.61%
03/08/2023,8.82,8.95,9.06,8.75,3.91M,-1.45%
03/07/2023,8.95,9.4,9.44,8.94,5.20M,-3.87%
03/06/2023,9.31,9.2,9.55,9.2,7.72M,1.20%
03/05/2023,9.2,9.4,9.44,9.05,7.99M,-1.71%
03/02/2023,9.36,9.7,9.75,9.36,6.01M,-2.50%
03/01/2023,9.6,9.87,9.87,9.52,5.12M,-1.54%
02/28/2023,9.75,9.92,10.05,9.71,10.82M,-1.52%
02/27/2023,9.9,9.88,10.1,9.82,8.02M,0.92%
02/26/2023,9.81,9.88,9.88,9.68,3.04M,0.62%
02/23/2023,9.75,9.71,9.8,9.45,3.69M,1.04%
02/22/2023,9.65,10.15,10.19,9.57,5.29M,-4.74%
02/21/2023,10.13,9.75,10.14,9.61,5.98M,4.33%
02/20/2023,9.71,10.23,10.36,9.61,7.33M,-5.08%
02/19/2023,10.23,10.62,10.65,10.1,4.82M,-2.85%
02/16/2023,10.53,10.65,10.82,10.5,7.96M,-0.66%
02/15/2023,10.6,10.6,10.8,10.35,16.11M,0.76%
02/14/2023,10.52,9.84,10.52,9.77,16.67M,8.01%
02/13/2023,9.74,9.98,10.1,9.65,7.75M,-2.11%
02/12/2023,9.95,9.85,10.31,9.83,15.44M,1.95%
02/09/2023,9.76,9.36,9.89,9.23,8.70M,5.74%
02/08/2023,9.23,9.57,9.57,9.2,3.99M,-2.33%
02/07/2023,9.45,9.59,9.67,9.39,7.33M,0.00%
02/06/2023,9.45,9.46,9.79,9.21,9.87M,1.18%
02/05/2023,9.34,9.47,9.47,8.26,26.67M,-0.21%
02/02/2023,9.36,10.09,10.2,9.26,9.87M,-5.45%
02/01/2023,9.9,10.15,10.3,9.86,10.98M,-1.98%
01/31/2023,10.1,10.41,10.92,10.08,12.60M,-2.88%
01/30/2023,10.4,11.29,11.33,10.32,11.74M,-6.98%
01/29/2023,11.18,11.49,11.55,11.1,8.44M,-1.67%
01/25/2023,11.37,11.44,11.48,10.95,10.23M,0.62%
01/24/2023,11.3,11.62,11.66,11.19,10.07M,-1.74%
01/23/2023,11.5,11.26,11.97,11.2,14.12M,2.68%
01/22/2023,11.2,11.6,11.74,11.2,7.97M,-1.67%
01/19/2023,11.39,10.85,11.39,10.62,8.66M,6.65%
01/18/2023,10.68,11.11,11.3,10.53,9.53M,-2.11%
01/17/2023,10.91,10.56,11.48,10.5,22.73M,4.40%
01/16/2023,10.45,10.74,10.74,10.39,9.59M,-1.51%
01/15/2023,10.61,10.47,11.14,10.46,24.42M,3.01%
01/12/2023,10.3,9.41,10.35,9.2,20.20M,10.63%
01/11/2023,9.31,9.14,10.1,9.08,30.56M,2.53%
01/10/2023,9.08,9.0,9.09,8.68,12.46M,2.37%
01/09/2023,8.87,8.95,9.27,8.81,11.40M,-0.67%
01/05/2023,8.93,9.28,9.3,8.88,8.98M,-2.83%
01/04/2023,9.19,9.17,9.33,8.5,15.47M,0.99%
01/03/2023,9.1,8.7,9.29,8.7,9.36M,4.60%
01/02/2023,8.7,8.0,8.8,7.93,8.67M,9.30%
12/29/2022,7.96,8.08,8.12,7.92,2.79M,-1.00%
12/28/2022,8.04,8.0,8.07,7.94,1.24M,1.26%
12/27/2022,7.94,7.99,8.09,7.85,2.98M,0.00%
12/26/2022,7.94,7.88,7.98,7.67,2.49M,4.20%
12/25/2022,7.62,7.81,7.9,7.54,2.21M,-2.68%
12/22/2022,7.83,8.22,8.28,7.8,3.66M,-4.51%
12/21/2022,8.2,8.12,8.4,8.0,4.69M,0.61%
12/20/2022,8.15,8.28,8.59,8.07,7.24M,0.00%
12/19/2022,8.15,8.01,8.23,7.94,4.81M,2.26%
12/18/2022,7.97,7.99,8.1,7.79,5.14M,1.01%
12/15/2022,7.89,8.22,8.5,7.85,5.50M,-3.66%
12/14/2022,8.19,8.11,8.45,7.8,12.60M,2.76%
