Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,16.14,16.2,16.38,16.14,7.08M,-0.06%
08/08/2023,16.15,16.18,16.47,16.06,13.26M,0.06%
08/07/2023,16.14,16.23,16.32,16.0,6.18M,-0.06%
08/06/2023,16.15,15.94,16.18,15.8,3.62M,1.57%
08/03/2023,15.9,16.01,16.08,15.68,6.34M,0.00%
08/02/2023,15.9,16.35,16.6,15.9,8.19M,-2.69%
08/01/2023,16.34,16.52,16.76,16.34,10.34M,-0.85%
07/31/2023,16.48,16.8,16.88,16.4,10.57M,-20.58%
07/30/2023,20.75,19.9,21.06,19.9,16.55M,4.53%
07/27/2023,19.85,19.85,20.08,19.77,5.28M,0.15%
07/26/2023,19.82,19.78,19.86,19.58,2.45M,0.71%
07/25/2023,19.68,20.0,20.15,19.66,3.52M,-1.35%
07/24/2023,19.95,19.84,20.11,19.81,4.78M,0.71%
07/19/2023,19.81,19.7,19.81,19.59,3.14M,0.97%
07/18/2023,19.62,19.63,19.79,19.56,4.35M,0.15%
07/17/2023,19.59,19.54,19.7,19.37,3.30M,0.82%
07/16/2023,19.43,19.5,19.58,19.36,1.25M,0.10%
07/13/2023,19.41,19.32,19.75,19.32,3.42M,0.83%
07/12/2023,19.25,19.55,19.59,19.05,4.89M,-0.88%
07/11/2023,19.42,19.01,19.85,18.72,6.96M,3.57%
07/10/2023,18.75,18.11,18.98,18.05,3.66M,3.82%
07/09/2023,18.06,18.98,19.01,18.05,1.82M,-4.85%
07/06/2023,18.98,18.98,19.15,18.83,2.91M,2.10%
07/05/2023,18.59,18.69,18.79,18.56,5.38M,0.00%
07/04/2023,18.59,18.9,19.0,18.55,1.80M,-1.12%
06/26/2023,18.8,18.5,18.9,18.41,2.01M,1.62%
06/25/2023,18.5,19.12,19.3,18.41,5.77M,-3.55%
06/22/2023,19.18,19.16,19.39,19.0,3.57M,-0.52%
06/21/2023,19.28,19.58,19.58,19.1,2.97M,-1.13%
06/20/2023,19.5,19.6,19.75,19.31,5.07M,-0.05%
06/19/2023,19.51,19.93,20.09,19.23,7.72M,-2.11%
06/18/2023,19.93,19.88,20.05,19.88,1.68M,0.25%
06/15/2023,19.88,20.12,20.15,19.83,3.06M,-0.60%
06/14/2023,20.0,19.96,20.35,19.84,10.07M,1.21%
06/13/2023,19.76,19.75,20.07,19.68,7.84M,-0.20%
06/12/2023,19.8,19.92,20.04,19.8,701.11K,-0.45%
06/11/2023,19.89,19.8,20.15,19.8,3.82M,0.96%
06/08/2023,19.7,19.6,19.83,19.53,2.81M,0.72%
06/07/2023,19.56,19.85,20.11,19.56,6.43M,-1.11%
06/06/2023,19.78,19.94,20.15,19.75,6.33M,-0.15%
06/05/2023,19.81,19.4,20.05,19.35,13.26M,2.64%
06/04/2023,19.3,19.34,19.69,19.29,8.27M,0.21%
06/01/2023,19.26,18.91,19.46,18.91,7.63M,1.69%
05/31/2023,18.94,19.12,19.3,18.91,10.25M,-0.68%
05/30/2023,19.07,18.8,19.23,18.75,10.86M,1.65%
05/29/2023,18.76,18.6,18.79,18.5,4.21M,1.08%
05/28/2023,18.56,18.62,18.73,18.5,2.91M,-0.05%
05/25/2023,18.57,18.75,18.9,18.54,3.99M,-0.70%
05/24/2023,18.7,18.41,18.7,18.4,5.42M,2.19%
05/23/2023,18.3,18.4,18.4,18.0,5.61M,-0.27%
05/22/2023,18.35,18.42,18.76,18.2,8.42M,-0.92%
05/21/2023,18.52,18.6,18.7,18.4,3.29M,-0.43%
05/18/2023,18.6,18.46,18.6,18.22,5.80M,1.09%
05/17/2023,18.4,18.95,19.0,18.32,11.94M,-2.85%
05/16/2023,18.94,18.79,18.96,18.42,12.63M,0.74%
05/15/2023,18.8,19.21,19.33,18.65,13.58M,-2.08%
05/14/2023,19.2,19.05,19.23,18.72,7.70M,1.32%
05/11/2023,18.95,19.29,19.45,18.92,12.80M,-1.76%
05/10/2023,19.29,18.51,19.47,18.4,20.35M,3.43%
05/09/2023,18.65,18.7,19.08,18.52,18.24M,0.38%
05/08/2023,18.58,18.0,18.64,17.93,9.45M,3.68%
05/07/2023,17.92,18.11,18.19,17.75,8.43M,-1.54%
05/03/2023,18.2,18.15,18.24,17.78,11.45M,1.00%
05/02/2023,18.02,18.02,18.15,17.71,7.36M,0.61%
05/01/2023,17.91,18.2,18.38,17.66,12.28M,-1.59%
04/30/2023,18.2,18.46,18.88,18.16,17.74M,-0.27%
04/27/2023,18.25,17.5,18.7,17.45,16.35M,5.31%
04/26/2023,17.33,17.63,17.68,17.33,5.50M,-1.42%
04/19/2023,17.58,17.8,17.9,17.39,10.24M,-0.11%
04/18/2023,17.6,17.05,17.7,16.92,11.68M,4.76%
04/13/2023,16.8,17.0,17.2,16.8,8.07M,-0.94%
04/12/2023,16.96,17.35,17.38,16.92,5.85M,-1.97%
04/11/2023,17.3,16.9,17.38,16.84,7.00M,2.85%
04/10/2023,16.82,16.97,17.09,16.73,5.11M,0.12%
04/09/2023,16.8,17.2,17.24,16.72,5.21M,-2.04%
04/06/2023,17.15,17.58,17.58,17.01,8.15M,-1.83%
04/05/2023,17.47,17.59,17.72,17.42,7.34M,-0.63%
04/04/2023,17.58,17.91,18.0,17.55,9.46M,-1.24%
04/03/2023,17.8,17.0,17.81,17.0,20.86M,5.33%
04/02/2023,16.9,16.75,17.0,16.73,3.96M,0.90%
03/30/2023,16.75,16.99,17.15,16.66,9.53M,-0.30%
03/29/2023,16.8,16.28,16.92,16.25,10.83M,3.58%
03/28/2023,16.22,16.51,16.7,15.82,10.38M,-1.70%
03/27/2023,16.5,17.18,17.2,16.5,38.60M,-2.94%
03/26/2023,17.0,16.58,17.14,16.5,12.34M,3.03%
03/23/2023,16.5,16.76,17.1,16.43,19.05M,-2.42%
03/22/2023,16.91,17.05,17.4,16.72,3.48M,-0.41%
03/21/2023,16.98,16.66,17.06,16.6,3.01M,3.54%
03/20/2023,16.4,15.95,16.78,15.7,4.64M,2.50%
03/19/2023,16.0,16.24,16.25,15.36,2.01M,0.00%
03/16/2023,16.0,15.8,16.9,15.5,3.21M,2.24%
03/15/2023,15.65,17.52,18.1,15.51,3.57M,-12.76%
03/14/2023,17.94,17.78,17.94,17.1,1.77M,0.79%
03/13/2023,17.8,18.99,18.99,16.5,6.52M,-4.35%
03/12/2023,18.61,19.71,19.72,18.61,2.82M,-5.58%
03/09/2023,19.71,19.28,19.95,19.2,2.99M,2.23%
03/08/2023,19.28,19.31,19.37,18.91,1.70M,-0.67%
03/07/2023,19.41,19.65,19.7,19.27,1.12M,-1.22%
03/06/2023,19.65,19.76,20.0,19.5,1.57M,0.20%
03/05/2023,19.61,19.92,20.1,19.52,2.65M,-1.51%
03/02/2023,19.91,20.48,20.48,19.86,3.60M,-2.35%
03/01/2023,20.39,20.32,20.57,20.0,4.26M,-1.26%
02/28/2023,20.65,20.25,20.65,19.8,6.90M,2.18%
02/27/2023,20.21,20.04,20.61,20.04,6.10M,1.86%
02/26/2023,19.84,19.55,20.1,19.46,3.98M,1.48%
02/23/2023,19.55,19.65,19.74,19.3,2.68M,-1.26%
02/22/2023,19.8,20.24,20.24,19.11,4.48M,-0.80%
02/21/2023,19.96,19.45,20.1,19.2,5.04M,2.62%
02/20/2023,19.45,20.45,20.58,19.3,4.83M,-4.14%
02/19/2023,20.29,21.05,21.2,20.2,2.66M,-2.97%
02/16/2023,20.91,20.75,21.34,20.7,10.53M,1.31%
02/15/2023,20.64,20.11,20.72,19.91,8.91M,3.20%
02/14/2023,20.0,19.98,20.5,19.91,11.60M,0.96%
02/13/2023,19.81,19.3,19.9,18.91,8.14M,2.54%
02/12/2023,19.32,19.26,19.63,18.93,4.19M,-0.67%
02/09/2023,19.45,18.01,19.47,17.91,8.11M,8.18%
02/08/2023,17.98,18.4,18.47,17.9,4.66M,-2.28%
02/07/2023,18.4,18.25,18.6,18.2,3.24M,1.66%
02/06/2023,18.1,18.4,18.47,17.9,2.11M,-0.98%
02/05/2023,18.28,18.25,18.35,17.52,3.06M,0.77%
02/02/2023,18.14,18.68,19.0,17.81,2.86M,-2.05%
02/01/2023,18.52,18.94,19.2,18.4,3.27M,-2.42%
01/31/2023,18.98,19.82,19.9,18.61,6.04M,-3.41%
01/30/2023,19.65,20.5,20.7,19.31,11.24M,-2.92%
01/29/2023,20.24,19.31,20.34,19.21,10.80M,5.31%
01/25/2023,19.22,19.38,19.8,19.16,11.05M,-0.10%
01/24/2023,19.24,18.5,19.35,18.2,16.25M,4.68%
01/23/2023,18.38,18.19,18.52,18.12,6.53M,1.83%
01/22/2023,18.05,17.9,18.3,17.84,4.30M,1.35%
01/19/2023,17.81,18.2,18.3,17.77,3.28M,-1.87%
01/18/2023,18.15,18.5,18.5,17.9,3.40M,-1.36%
01/17/2023,18.4,18.25,18.6,18.15,8.31M,1.66%
01/16/2023,18.1,17.56,18.25,17.56,7.08M,3.08%
01/15/2023,17.56,17.91,17.95,17.5,2.75M,-1.90%
01/12/2023,17.9,17.5,18.0,16.85,5.80M,3.47%
01/11/2023,17.3,17.8,18.47,17.11,14.10M,-2.26%
01/10/2023,17.7,18.9,19.0,17.7,9.89M,-6.35%
01/09/2023,18.9,19.4,19.63,18.6,7.93M,-2.07%
01/05/2023,19.3,18.62,19.34,18.6,5.90M,3.93%
01/04/2023,18.57,18.39,18.88,17.6,6.42M,2.03%
01/03/2023,18.2,18.07,18.49,18.07,3.09M,0.78%
01/02/2023,18.06,17.88,18.09,17.71,2.86M,1.01%
12/29/2022,17.88,17.9,18.09,17.69,1.13M,-0.11%
12/28/2022,17.9,17.9,18.05,17.72,1.05M,0.00%
12/27/2022,17.9,18.0,18.09,17.7,1.62M,-0.33%
12/26/2022,17.96,17.75,18.04,17.3,2.59M,1.93%
12/25/2022,17.62,17.1,17.7,16.83,1.94M,0.69%
12/22/2022,17.5,17.38,17.9,17.36,3.59M,0.81%
12/21/2022,17.36,17.51,17.6,17.16,2.65M,-0.69%
12/20/2022,17.48,18.4,18.4,17.43,14.57M,-4.11%
12/19/2022,18.23,18.15,18.23,17.52,4.14M,0.72%
12/18/2022,18.1,18.39,18.5,17.8,7.02M,-1.25%
12/15/2022,18.33,18.3,19.23,18.25,8.34M,0.88%
12/14/2022,18.17,18.49,18.73,18.1,4.39M,-1.25%
12/13/2022,18.4,18.02,18.74,18.02,12.83M,2.22%
12/12/2022,18.0,17.9,18.18,17.13,9.70M,0.45%
12/11/2022,17.92,17.7,18.68,17.7,8.60M,1.24%
12/08/2022,17.7,17.98,18.1,17.3,13.80M,-1.39%
12/07/2022,17.95,16.87,18.15,16.85,9.85M,6.78%
12/06/2022,16.81,16.14,16.95,15.9,8.84M,4.09%
12/05/2022,16.15,16.15,16.55,15.85,9.25M,0.31%
12/04/2022,16.1,15.59,16.56,15.56,4.41M,4.21%
12/01/2022,15.45,15.15,15.45,15.03,3.38M,2.32%
11/30/2022,15.1,14.3,15.1,14.3,20.56M,5.82%
11/29/2022,14.27,14.05,14.33,14.05,5.91M,1.28%
11/28/2022,14.09,14.31,14.31,13.93,6.99M,-1.26%
11/27/2022,14.27,14.1,14.37,14.09,7.85M,1.86%
11/24/2022,14.01,13.7,14.06,13.62,10.74M,2.41%
11/23/2022,13.68,13.64,13.86,13.61,5.28M,0.00%
11/22/2022,13.68,13.39,13.71,13.28,6.88M,2.17%
11/21/2022,13.39,13.59,13.59,13.3,7.44M,-0.89%
11/20/2022,13.51,13.51,13.62,13.37,3.43M,0.07%
11/17/2022,13.5,13.62,13.7,13.4,5.87M,-0.74%
11/16/2022,13.6,13.25,13.62,13.25,5.75M,2.64%
11/15/2022,13.25,13.54,13.58,13.17,3.79M,-1.56%
11/14/2022,13.46,13.75,13.75,13.25,5.85M,-1.46%
11/13/2022,13.66,13.6,13.85,13.6,3.25M,1.11%
11/10/2022,13.51,13.5,13.75,13.32,7.07M,0.07%
11/09/2022,13.5,13.27,13.5,13.0,4.77M,1.50%
11/08/2022,13.3,13.37,13.65,13.14,8.53M,0.76%
11/07/2022,13.2,13.15,13.24,12.99,2.30M,1.23%
11/06/2022,13.04,13.08,13.28,13.0,1.45M,-0.31%
