Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,6.72,6.69,6.72,6.49,601.77K,5.00%
08/06/2023,6.4,6.33,6.4,6.23,389.41K,4.92%
08/02/2023,6.1,5.75,6.1,5.72,980.54K,4.99%
07/30/2023,5.81,5.6,5.85,5.56,525.16K,3.75%
07/26/2023,5.6,5.63,5.7,5.52,407.77K,-0.18%
07/19/2023,5.61,5.57,5.79,5.55,205.60K,0.00%
07/16/2023,5.61,5.84,5.95,5.55,790.89K,-1.06%
07/12/2023,5.67,5.6,5.8,5.6,340.55K,1.80%
07/09/2023,5.57,5.9,5.93,5.53,473.16K,-4.30%
07/05/2023,5.82,6.0,6.0,5.79,394.45K,-1.36%
06/25/2023,5.9,6.03,6.03,5.83,272.80K,-0.34%
06/21/2023,5.92,6.22,6.22,5.91,423.71K,-3.74%
06/18/2023,6.15,5.9,6.15,5.86,524.37K,4.95%
06/14/2023,5.86,5.9,5.98,5.8,488.84K,0.00%
06/11/2023,5.86,6.0,6.14,5.81,392.15K,-1.84%
06/07/2023,5.97,6.06,6.15,5.91,542.73K,-2.61%
06/04/2023,6.13,6.1,6.23,6.09,414.92K,2.00%
05/31/2023,6.01,6.13,6.19,6.0,753.32K,-0.66%
05/28/2023,6.05,6.25,6.29,6.03,634.96K,-2.89%
05/24/2023,6.23,6.3,6.33,6.15,369.21K,-0.80%
05/21/2023,6.28,6.4,6.49,6.22,324.23K,-3.38%
05/17/2023,6.5,6.6,6.63,6.4,799.58K,2.85%
05/14/2023,6.32,6.0,6.32,6.0,450.93K,4.98%
05/10/2023,6.02,6.11,6.25,5.98,266.03K,-2.90%
05/07/2023,6.2,6.3,6.4,6.12,432.98K,-2.52%
05/03/2023,6.36,6.4,6.41,6.25,509.84K,-0.93%
04/30/2023,6.42,6.45,6.6,6.35,333.03K,-0.93%
04/26/2023,6.48,6.56,6.64,6.4,293.21K,-0.61%
04/19/2023,6.52,6.48,6.76,6.3,557.64K,0.93%
04/12/2023,6.46,6.58,6.58,6.3,302.19K,1.89%
04/09/2023,6.34,6.42,6.68,6.3,275.07K,-4.08%
04/05/2023,6.61,6.75,6.88,6.53,499.29K,-3.36%
04/02/2023,6.84,6.65,6.95,6.65,442.68K,2.40%
03/29/2023,6.68,6.77,6.77,6.5,718.84K,-1.62%
03/26/2023,6.79,7.0,7.0,6.69,343.76K,1.49%
03/22/2023,6.69,6.39,6.69,6.39,523.77K,4.86%
03/19/2023,6.38,6.45,6.67,6.38,469.52K,-4.92%
03/15/2023,6.71,7.19,7.19,6.71,591.91K,-4.96%
03/12/2023,7.06,7.22,7.24,7.01,680.95K,2.32%
03/08/2023,6.9,6.75,6.9,6.58,1.09M,4.86%
03/05/2023,6.58,6.58,6.58,6.36,414.90K,4.94%
03/01/2023,6.27,5.98,6.27,5.85,612.61K,4.85%
02/26/2023,5.98,6.07,6.15,5.87,505.24K,-1.48%
02/22/2023,6.07,6.35,6.35,6.07,572.46K,-4.86%
02/19/2023,6.38,6.6,6.6,6.32,432.02K,-2.60%
02/15/2023,6.55,6.62,6.7,6.5,404.86K,-0.76%
02/12/2023,6.6,6.65,6.75,6.5,433.53K,-0.60%
02/08/2023,6.64,6.59,6.76,6.45,1.06M,1.84%
02/05/2023,6.52,6.79,6.79,6.46,531.71K,-3.12%
02/01/2023,6.73,6.9,6.9,6.7,437.19K,-4.13%
01/29/2023,7.02,7.0,7.08,6.71,728.97K,0.14%
01/25/2023,7.01,7.18,7.24,6.92,830.79K,-2.64%
01/22/2023,7.2,7.25,7.36,7.0,597.09K,-0.28%
01/18/2023,7.22,7.34,7.43,6.91,1.57M,1.98%
01/15/2023,7.08,6.85,7.08,6.85,651.21K,4.89%
01/11/2023,6.75,6.75,6.94,6.4,1.45M,0.30%
01/04/2023,6.73,6.99,7.0,6.65,825.91K,0.00%
12/28/2022,6.73,6.95,6.95,6.6,457.45K,-0.44%
12/25/2022,6.76,6.6,6.85,6.51,414.33K,-0.88%
12/21/2022,6.82,7.14,7.19,6.77,445.72K,-3.94%
12/18/2022,7.1,7.02,7.2,6.7,733.39K,1.57%
12/14/2022,6.99,6.97,6.99,6.66,643.96K,4.95%
12/11/2022,6.66,6.44,6.66,6.04,773.16K,4.88%
12/07/2022,6.35,6.4,6.58,6.35,571.21K,-4.94%
12/04/2022,6.68,6.99,6.99,6.67,1.05M,-4.84%
11/30/2022,7.02,6.85,7.34,6.81,771.13K,-0.99%
11/27/2022,7.09,7.09,7.09,6.43,3.53M,4.88%
11/23/2022,6.76,6.76,6.76,6.76,51.11K,4.97%
11/20/2022,6.44,6.44,6.44,6.44,54.76K,4.89%
11/16/2022,6.14,5.56,6.14,5.56,1.60M,4.96%
11/13/2022,5.85,5.85,5.85,5.85,191.59K,-4.88%
11/09/2022,6.15,6.15,6.15,6.15,310.23K,-4.95%
11/06/2022,6.47,6.47,6.47,6.47,400.89K,-4.99%
11/02/2022,6.81,6.81,6.81,6.81,577.41K,-4.89%
10/30/2022,7.16,7.16,7.16,7.16,611.36K,-4.91%
10/26/2022,7.53,7.53,7.53,7.53,552.06K,-4.92%
10/23/2022,7.92,7.92,8.2,7.92,1.40M,-4.92%
10/19/2022,8.33,9.19,9.19,8.33,3.45M,-4.91%
10/16/2022,8.76,8.76,8.76,8.76,66.36K,4.91%
10/12/2022,8.35,8.35,8.35,8.35,221.36K,4.90%
10/09/2022,7.96,7.96,7.96,7.96,58.48K,4.87%
10/05/2022,7.59,7.59,7.59,7.59,49.25K,4.98%
10/02/2022,7.23,7.23,7.23,7.23,82.44K,4.93%
09/28/2022,6.89,6.89,6.89,6.89,46.02K,4.87%
09/25/2022,6.57,6.57,6.57,6.57,273.22K,4.95%
09/21/2022,6.26,6.26,6.26,6.26,187.84K,4.86%
09/18/2022,5.97,5.97,5.97,5.97,663.44K,4.92%
09/14/2022,5.69,5.69,5.69,5.69,372.13K,4.98%
09/11/2022,5.42,5.42,5.42,5.42,133.00K,4.84%
