Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,14.1,14.0,14.15,13.9,511.30K,1.00%
08/08/2023,13.96,14.03,14.2,13.86,43.85K,-0.99%
08/07/2023,14.1,14.3,14.3,14.01,46.41K,0.43%
08/06/2023,14.04,14.0,14.42,14.0,317.34K,0.36%
08/03/2023,13.99,14.12,14.24,13.86,142.87K,-0.99%
08/02/2023,14.13,14.25,14.39,13.83,458.49K,-1.81%
08/01/2023,14.39,14.19,14.42,14.05,150.85K,1.41%
07/31/2023,14.19,13.88,14.2,13.57,794.37K,2.01%
07/30/2023,13.91,13.2,14.0,13.02,312.69K,5.86%
07/27/2023,13.14,13.02,13.25,13.02,69.10K,0.00%
07/26/2023,13.14,13.05,13.24,13.0,1.03M,1.08%
07/25/2023,13.0,12.9,13.05,12.9,3.39M,0.39%
07/24/2023,12.95,13.0,13.05,12.86,27.53K,-0.61%
07/19/2023,13.03,12.99,13.05,12.85,684.72K,0.39%
07/18/2023,12.98,12.84,13.07,12.8,434.22K,2.04%
07/17/2023,12.72,12.35,13.39,12.25,1.18M,3.58%
07/16/2023,12.28,12.38,12.38,12.24,85.92K,-0.89%
07/13/2023,12.39,12.25,12.42,12.2,1.27M,0.49%
07/12/2023,12.33,12.33,12.36,12.18,695.56K,-0.08%
07/11/2023,12.34,12.35,12.38,12.15,23.05K,0.00%
07/10/2023,12.34,12.1,12.38,12.09,1.13M,-0.08%
07/09/2023,12.35,12.23,12.4,12.01,406.30K,3.69%
07/06/2023,11.91,12.1,12.34,11.9,97.38K,-2.70%
07/05/2023,12.24,12.32,12.6,12.04,202.11K,0.08%
07/04/2023,12.23,12.32,12.35,12.15,1.66M,-0.49%
06/26/2023,12.29,12.31,12.35,12.0,742.05K,-0.08%
06/25/2023,12.3,12.29,12.33,12.2,711.98K,0.08%
06/22/2023,12.29,12.35,12.35,12.18,1.05M,-0.08%
06/21/2023,12.3,12.19,12.34,12.17,964.26K,0.16%
06/20/2023,12.28,12.25,12.3,12.15,114.05K,0.24%
06/19/2023,12.25,12.33,12.35,12.2,112.21K,-0.49%
06/18/2023,12.31,12.23,12.34,12.13,44.45K,1.40%
06/15/2023,12.14,12.42,12.42,12.0,68.39K,-2.33%
06/14/2023,12.43,12.35,12.49,12.26,219.92K,0.89%
06/13/2023,12.32,12.25,12.37,12.25,187.36K,1.15%
06/12/2023,12.18,12.17,12.34,12.08,1.06M,1.08%
06/11/2023,12.05,12.3,12.3,12.02,164.23K,-1.23%
06/08/2023,12.2,12.25,12.3,12.02,740.59K,0.16%
06/07/2023,12.18,12.35,12.35,12.15,79.26K,-1.38%
06/06/2023,12.35,12.45,12.45,12.02,153.69K,-0.48%
06/05/2023,12.41,12.7,12.75,12.01,234.02K,-1.82%
06/04/2023,12.64,12.75,12.8,12.51,124.09K,-0.47%
06/01/2023,12.7,12.51,12.8,12.51,174.27K,0.71%
05/31/2023,12.61,12.45,12.68,12.31,595.29K,1.94%
05/30/2023,12.37,12.35,12.57,12.2,457.52K,0.65%
05/29/2023,12.29,12.49,12.49,12.2,119.95K,-0.65%
05/28/2023,12.37,12.5,12.77,12.21,459.16K,-0.96%
05/25/2023,12.49,12.6,12.8,12.42,253.92K,-0.72%
05/24/2023,12.58,12.84,12.85,12.52,495.75K,-1.72%
05/23/2023,12.8,12.59,12.96,12.5,1.48M,1.27%
05/22/2023,12.64,12.49,12.74,12.39,373.78K,2.93%
05/21/2023,12.28,12.0,12.75,12.0,195.47K,2.76%
05/18/2023,11.95,12.2,12.2,11.85,133.72K,-1.40%
05/17/2023,12.12,12.2,12.39,12.11,163.32K,-0.33%
05/16/2023,12.16,12.48,12.5,12.1,129.94K,-2.56%
05/15/2023,12.48,12.8,12.9,12.45,460.66K,-1.73%
05/14/2023,12.7,13.44,13.44,12.51,872.39K,-4.15%
05/11/2023,13.25,13.4,13.45,13.01,3.30M,-1.41%
05/10/2023,13.44,13.55,13.55,13.21,639.63K,-0.67%
05/09/2023,13.53,13.65,13.69,13.4,425.61K,-0.37%
05/08/2023,13.58,13.65,13.75,13.57,578.57K,-0.66%
05/07/2023,13.67,13.45,13.7,13.41,248.75K,0.81%
05/03/2023,13.56,13.41,13.6,13.2,698.52K,1.19%
05/02/2023,13.4,13.42,13.5,13.2,1.29M,-0.07%
05/01/2023,13.41,13.5,13.58,13.21,1.52M,-0.52%
04/30/2023,13.48,13.23,13.6,13.2,2.11M,2.28%
04/27/2023,13.18,13.37,13.45,13.12,300.91K,-0.75%
04/26/2023,13.28,13.35,13.48,13.2,88.72K,0.45%
04/19/2023,13.22,13.1,13.4,12.75,224.45K,-0.30%
04/18/2023,13.26,12.6,13.49,12.5,264.85K,4.16%
04/13/2023,12.73,12.62,12.99,12.6,425.29K,0.87%
04/12/2023,12.62,12.8,12.94,12.5,471.06K,-1.56%
04/11/2023,12.82,12.2,13.0,12.13,1.55M,4.82%
04/10/2023,12.23,12.2,12.3,12.05,429.70K,0.58%
04/09/2023,12.16,12.02,12.55,12.01,1.40M,1.25%
04/06/2023,12.01,11.71,12.14,11.71,1.36M,2.74%
04/05/2023,11.69,11.2,11.69,11.01,3.94M,3.63%
04/04/2023,11.28,11.15,11.35,10.9,1.55M,1.17%
04/03/2023,11.15,11.12,11.23,10.97,830.20K,-0.36%
04/02/2023,11.19,10.99,11.19,10.86,1.05M,2.10%
03/30/2023,10.96,11.0,11.29,10.77,1.09M,-0.36%
03/29/2023,11.0,10.5,11.2,10.48,2.14M,5.16%
03/28/2023,10.46,10.2,10.75,9.98,820.61K,2.55%
03/27/2023,10.2,9.65,10.29,9.5,3.62M,6.25%
03/26/2023,9.6,9.49,9.69,9.32,739.24K,2.35%
03/23/2023,9.38,9.2,9.48,9.0,106.60K,2.63%
