Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,222.16,225.5,227.93,222.16,41.27K,-1.26%
08/08/2023,225.0,228.95,229.5,225.0,38.62K,-1.73%
08/07/2023,228.95,227.03,229.88,226.11,25.94K,0.43%
08/06/2023,227.98,226.0,229.99,223.15,46.81K,1.07%
08/03/2023,225.56,223.0,227.7,221.5,48.10K,1.60%
08/02/2023,222.0,229.88,229.88,222.0,53.40K,-1.90%
08/01/2023,226.31,229.68,236.0,226.0,55.06K,-1.52%
07/31/2023,229.8,232.0,232.94,227.71,89.23K,-0.13%
07/30/2023,230.11,236.0,236.97,229.12,68.76K,-2.48%
07/27/2023,235.96,242.01,244.0,235.1,76.46K,-2.28%
07/26/2023,241.46,237.0,243.5,236.6,98.70K,2.75%
07/25/2023,235.0,234.01,238.99,232.01,146.63K,0.86%
07/24/2023,233.0,229.01,235.2,229.01,92.56K,2.19%
07/19/2023,228.0,228.99,233.4,226.01,90.46K,0.26%
07/18/2023,227.42,227.5,231.0,224.5,74.42K,0.42%
07/17/2023,226.47,226.0,230.0,224.01,72.24K,0.24%
07/16/2023,225.93,230.2,232.9,222.0,108.05K,-0.55%
07/13/2023,227.18,228.0,229.7,226.01,55.00K,0.10%
07/12/2023,226.96,233.8,234.49,217.5,88.94K,-3.22%
07/11/2023,234.51,228.3,234.9,221.0,122.73K,2.75%
07/10/2023,228.23,195.2,228.23,192.0,143.20K,19.99%
07/09/2023,190.2,232.5,234.97,186.0,229.10K,-17.93%
07/06/2023,231.74,238.8,239.0,230.14,73.30K,-2.25%
07/05/2023,237.08,238.98,242.0,235.0,89.10K,0.24%
07/04/2023,236.52,233.0,240.0,230.0,89.08K,2.08%
06/26/2023,231.7,242.88,242.88,228.0,88.99K,-2.66%
06/25/2023,238.03,237.99,246.0,235.7,55.89K,0.01%
06/22/2023,238.0,241.0,244.49,235.6,104.08K,-1.80%
06/21/2023,242.37,248.61,250.0,241.0,173.25K,-2.51%
06/20/2023,248.62,257.99,258.99,242.03,223.15K,-4.00%
06/19/2023,258.99,227.51,259.0,227.51,344.46K,13.84%
06/18/2023,227.5,229.04,232.5,227.01,98.66K,-1.09%
06/15/2023,230.0,233.0,234.86,222.02,358.79K,-1.28%
06/14/2023,232.99,252.0,270.0,217.02,973.38K,-5.50%
06/13/2023,246.55,215.25,246.55,210.01,1.39M,20.00%
06/12/2023,205.46,171.4,205.46,170.0,537.74K,20.00%
06/11/2023,171.22,160.0,171.4,160.0,302.82K,7.01%
06/08/2023,160.0,156.0,160.4,154.6,203.85K,3.23%
06/07/2023,155.0,159.0,159.99,155.0,62.54K,-2.52%
06/06/2023,159.01,159.95,161.5,155.13,99.55K,-3.33%
06/05/2023,164.48,160.6,164.8,152.9,166.56K,2.45%
06/04/2023,160.54,162.5,164.99,160.21,1.13M,-1.13%
06/01/2023,162.37,165.5,165.5,162.0,26.00K,0.23%
05/31/2023,162.0,167.0,169.0,162.0,95.81K,-2.98%
05/30/2023,166.98,167.98,170.0,165.35,259.67K,0.22%
05/29/2023,166.62,168.86,168.86,165.11,23.29K,-0.32%
05/28/2023,167.15,169.0,170.0,167.0,31.55K,-0.25%
05/25/2023,167.57,168.06,169.25,166.0,25.70K,-0.50%
05/24/2023,168.42,160.11,169.25,160.11,66.24K,5.19%
05/23/2023,160.11,162.99,162.99,159.0,38.74K,-1.37%
05/22/2023,162.34,162.5,164.35,161.7,29.60K,0.10%
05/21/2023,162.17,165.98,166.75,161.52,86.98K,-1.12%
05/18/2023,164.0,167.0,168.0,158.13,125.64K,-1.57%
05/17/2023,166.61,169.55,170.0,166.11,33.74K,-0.32%
05/16/2023,167.14,175.5,175.88,165.0,193.02K,-4.52%
05/15/2023,175.05,176.0,177.0,175.0,46.31K,-0.53%
05/14/2023,175.99,176.0,178.77,175.0,44.44K,-0.01%
05/11/2023,176.0,180.0,181.0,174.8,85.88K,-1.95%
05/10/2023,179.5,175.97,181.5,175.0,164.77K,-6.02%
05/09/2023,190.99,190.25,192.99,189.1,230.47K,1.59%
05/08/2023,188.0,180.0,192.0,180.0,226.85K,3.94%
05/07/2023,180.88,177.59,182.0,177.59,73.97K,2.13%
05/03/2023,177.1,175.17,177.1,173.99,82.30K,1.60%
05/02/2023,174.31,177.68,177.95,173.12,213.94K,-0.94%
05/01/2023,175.97,178.3,180.0,174.0,91.39K,-1.26%
04/30/2023,178.22,183.0,184.5,178.22,88.64K,-1.77%
04/27/2023,181.43,182.2,184.0,179.55,118.02K,-0.30%
04/26/2023,181.97,176.97,181.97,175.61,75.14K,3.39%
04/19/2023,176.0,177.0,177.99,174.2,48.07K,0.04%
04/18/2023,175.93,171.25,179.97,171.25,107.99K,3.09%
04/13/2023,170.66,164.5,175.5,164.5,143.15K,3.84%
04/12/2023,164.35,163.5,164.74,163.27,81.84K,0.66%
04/11/2023,163.27,162.0,163.88,161.05,53.08K,1.38%
04/10/2023,161.05,160.7,163.5,159.95,26.61K,0.68%
04/09/2023,159.97,159.8,160.5,159.01,31.03K,0.90%
04/06/2023,158.54,160.0,161.0,158.22,50.93K,-0.67%
04/05/2023,159.61,161.4,162.0,159.0,35.46K,-1.11%
04/04/2023,161.4,159.5,161.99,157.7,52.01K,1.53%
04/03/2023,158.96,159.0,161.0,158.0,110.29K,0.46%
04/02/2023,158.24,159.13,160.0,157.51,45.31K,-0.53%
03/30/2023,159.09,164.0,165.0,158.51,36.38K,-2.70%
03/29/2023,163.51,158.23,163.9,158.23,120.43K,2.24%
03/28/2023,159.93,152.0,161.5,150.15,125.00K,5.91%
03/27/2023,151.01,150.5,152.0,148.9,89.81K,0.71%
03/26/2023,149.94,145.0,151.0,144.0,63.76K,3.41%
03/23/2023,145.0,139.0,145.99,138.0,95.43K,4.85%
03/22/2023,138.29,141.0,141.83,137.12,27.86K,-1.87%
03/21/2023,140.93,138.6,142.01,138.6,41.60K,1.76%
03/20/2023,138.49,138.0,141.0,138.0,63.59K,0.04%
03/19/2023,138.44,139.0,139.0,133.0,77.88K,-0.12%
03/16/2023,138.6,137.8,140.0,135.0,44.57K,0.49%
03/15/2023,137.93,140.0,144.0,136.0,116.36K,-0.09%
03/14/2023,138.05,135.01,139.54,135.01,102.15K,0.04%
03/13/2023,138.0,139.0,140.3,135.0,83.72K,-1.43%
03/12/2023,140.0,143.5,143.5,138.0,69.37K,-2.14%
03/09/2023,143.06,141.0,143.65,140.6,29.17K,1.48%
03/08/2023,140.97,143.6,144.44,139.56,14.16K,-1.57%
03/07/2023,143.22,145.0,146.5,139.12,84.23K,-1.23%
03/06/2023,145.0,149.01,149.01,145.0,89.07K,-2.21%
03/05/2023,148.28,149.0,149.75,147.61,17.75K,0.14%
03/02/2023,148.08,149.85,150.0,147.99,16.47K,0.05%
03/01/2023,148.0,147.8,149.65,147.19,60.92K,3.49%
02/28/2023,143.01,152.42,153.27,143.01,48.48K,-6.23%
02/27/2023,152.51,153.98,154.0,152.21,29.27K,-0.25%
02/26/2023,152.89,152.0,154.9,152.0,56.18K,0.14%
02/23/2023,152.68,150.0,153.5,148.0,21.74K,3.00%
02/22/2023,148.23,150.44,151.0,147.6,11.91K,-0.49%
02/21/2023,148.96,147.95,150.77,147.1,16.07K,0.93%
02/20/2023,147.59,152.11,153.74,147.0,27.13K,-2.97%
02/19/2023,152.1,154.99,155.9,152.0,15.70K,-1.74%
02/16/2023,154.79,152.7,155.48,152.21,78.80K,1.40%
02/15/2023,152.65,156.99,156.99,152.05,22.84K,-2.12%
02/14/2023,155.95,151.85,155.95,151.6,58.13K,2.59%
