Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,18.87,19.13,19.13,18.5,48.75K,0.69%
08/08/2023,18.74,19.11,19.36,18.4,31.57K,-3.40%
08/07/2023,19.4,18.71,19.86,18.05,203.34K,4.19%
08/06/2023,18.62,18.22,18.68,17.8,39.44K,1.09%
08/03/2023,18.42,18.1,18.3,17.75,12.95K,0.00%
08/02/2023,18.42,18.25,18.62,17.71,16.60K,0.00%
08/01/2023,18.42,18.46,18.6,18.2,24.01K,-0.22%
07/31/2023,18.46,18.37,18.89,18.37,34.13K,-0.27%
07/30/2023,18.51,19.0,19.0,18.25,23.87K,0.00%
07/27/2023,18.51,18.99,18.99,18.28,35.51K,-0.38%
07/26/2023,18.58,19.1,19.1,18.25,20.19K,-3.58%
07/25/2023,19.27,18.9,19.4,18.7,47.13K,1.96%
07/24/2023,18.9,19.0,19.2,18.75,47.31K,-0.26%
07/19/2023,18.95,19.33,19.45,18.8,21.08K,-1.92%
07/18/2023,19.32,19.28,19.49,19.08,29.26K,0.21%
07/17/2023,19.28,19.2,19.6,19.09,43.11K,-0.46%
07/16/2023,19.37,19.49,19.72,19.0,80.80K,1.41%
07/13/2023,19.1,18.9,19.75,18.66,112.13K,2.25%
07/12/2023,18.68,18.53,18.94,18.5,26.30K,1.58%
07/11/2023,18.39,18.7,18.7,17.4,49.41K,0.38%
07/10/2023,18.32,17.58,18.6,16.6,95.11K,6.57%
07/09/2023,17.19,18.97,18.97,17.07,42.15K,-7.08%
07/06/2023,18.5,19.0,19.4,18.5,68.65K,-3.55%
07/05/2023,19.18,19.85,19.85,19.1,60.45K,-0.83%
07/04/2023,19.34,20.0,20.24,17.01,156.35K,-1.53%
06/26/2023,19.64,19.8,20.5,19.5,210.22K,-0.76%
06/25/2023,19.79,21.0,21.21,19.55,160.64K,-3.84%
06/22/2023,20.58,19.43,21.65,19.43,696.16K,5.97%
06/21/2023,19.42,19.9,20.9,19.35,539.62K,-2.22%
06/20/2023,19.86,19.0,20.5,18.7,596.02K,6.20%
06/19/2023,18.7,19.0,19.2,18.6,43.25K,-1.58%
06/18/2023,19.0,18.49,19.1,17.83,150.85K,9.01%
06/15/2023,17.43,17.7,17.95,17.46,15.06K,0.00%
06/14/2023,17.43,18.1,18.78,17.15,46.38K,-5.58%
06/13/2023,18.46,18.75,18.99,18.06,26.96K,-1.02%
06/12/2023,18.65,19.0,19.0,18.05,10.86K,0.70%
06/11/2023,18.52,18.8,18.8,18.35,59.20K,0.00%
06/08/2023,18.52,18.99,19.15,18.25,56.61K,-1.02%
06/07/2023,18.71,18.26,19.18,18.26,70.24K,-0.21%
06/06/2023,18.75,19.23,19.5,18.03,54.53K,-1.42%
06/05/2023,19.02,18.8,19.7,18.8,104.49K,-1.30%
06/04/2023,19.27,18.26,19.49,18.26,145.62K,2.88%
06/01/2023,18.73,18.75,19.2,18.0,234.68K,4.06%
05/31/2023,18.0,18.3,18.9,17.09,333.88K,-3.33%
05/30/2023,18.62,17.35,18.85,17.35,376.52K,7.01%
05/29/2023,17.4,17.0,17.7,16.88,390.73K,2.35%
05/28/2023,17.0,16.55,17.05,16.5,116.95K,2.04%
05/25/2023,16.66,16.78,16.99,16.6,19.31K,0.36%
05/24/2023,16.6,16.23,17.0,16.23,305.56K,2.22%
05/23/2023,16.24,16.45,16.45,16.1,40.09K,-0.98%
05/22/2023,16.4,16.4,16.5,16.31,24.65K,0.00%
05/21/2023,16.4,16.45,16.6,16.1,36.08K,0.43%
05/18/2023,16.33,16.64,16.64,16.06,10.77K,0.00%
05/17/2023,16.33,16.8,16.93,16.07,40.66K,0.55%
05/16/2023,16.24,16.87,16.99,16.03,125.95K,-0.61%
05/15/2023,16.34,16.45,17.01,16.31,237.44K,0.55%
05/14/2023,16.25,16.55,16.88,16.0,123.68K,-1.57%
05/11/2023,16.51,16.8,17.0,16.06,60.08K,-1.61%
05/10/2023,16.78,16.74,17.06,16.28,125.16K,0.18%
05/09/2023,16.75,16.65,17.25,16.65,124.67K,1.39%
05/08/2023,16.52,16.85,16.85,16.07,88.08K,-1.02%
05/07/2023,16.69,17.0,17.23,16.6,86.66K,0.48%
05/03/2023,16.61,16.39,16.74,15.9,260.91K,3.04%
05/02/2023,16.12,16.69,16.69,16.0,144.03K,-0.37%
05/01/2023,16.18,16.99,17.5,16.1,346.25K,-3.52%
04/30/2023,16.77,16.0,17.7,15.82,841.06K,5.54%
04/27/2023,15.89,15.2,16.0,15.2,326.78K,5.30%
04/26/2023,15.09,14.3,15.4,14.3,132.57K,7.10%
04/19/2023,14.09,14.01,14.3,14.0,76.81K,0.57%
04/18/2023,14.01,13.8,14.3,13.78,95.86K,1.37%
04/13/2023,13.82,13.8,14.0,13.62,12.82K,0.00%
04/12/2023,13.82,14.01,14.01,13.6,26.82K,-0.65%
04/11/2023,13.91,13.9,14.4,13.85,95.79K,0.14%
04/10/2023,13.89,14.0,14.0,13.82,7.36K,0.00%
04/09/2023,13.89,14.0,14.01,13.8,60.06K,-0.36%
04/06/2023,13.94,14.06,14.3,13.9,60.25K,-0.64%
04/05/2023,14.03,14.15,14.9,13.9,235.67K,0.00%
04/04/2023,14.03,14.0,14.7,13.85,143.07K,0.57%
04/03/2023,13.95,13.4,14.7,13.4,66.53K,3.26%
04/02/2023,13.51,13.52,13.77,13.4,8.31K,0.00%
03/30/2023,13.51,13.77,13.77,13.43,3.43K,0.00%
03/29/2023,13.51,13.55,13.98,13.42,36.62K,-1.53%
03/28/2023,13.72,13.5,14.0,13.0,18.65K,0.00%
03/27/2023,13.72,14.19,14.19,13.32,16.77K,0.00%
03/26/2023,13.72,13.0,14.4,12.9,55.28K,4.02%
03/23/2023,13.19,12.8,13.19,12.71,23.11K,6.63%
03/22/2023,12.37,12.8,13.1,12.6,14.09K,0.00%
03/21/2023,12.37,12.99,12.99,12.5,14.60K,0.00%
03/20/2023,12.37,13.2,13.2,12.4,17.90K,0.00%
03/19/2023,12.37,12.5,12.9,11.7,26.16K,0.65%
03/16/2023,12.29,12.0,12.5,11.5,31.83K,-1.76%
03/15/2023,12.51,13.0,13.76,12.5,82.64K,-5.01%
03/14/2023,13.17,13.0,13.25,12.5,25.02K,0.15%
03/13/2023,13.15,13.91,14.58,13.0,23.95K,-10.30%
03/12/2023,14.66,14.13,14.6,13.91,17.49K,0.00%
03/09/2023,14.66,14.02,14.8,14.02,28.95K,3.17%
03/08/2023,14.21,14.21,14.8,13.8,11.49K,0.00%
03/07/2023,14.21,14.55,14.74,14.21,35.97K,-2.47%
03/06/2023,14.57,14.7,14.97,14.46,30.63K,-1.22%
03/05/2023,14.75,15.0,15.0,14.4,8.93K,0.00%
03/02/2023,14.75,14.71,14.93,14.65,39.40K,-0.20%
03/01/2023,14.78,14.93,14.96,14.71,47.82K,0.48%
02/28/2023,14.71,14.79,14.97,14.5,21.51K,-0.61%
02/27/2023,14.8,15.1,15.1,14.4,23.79K,-0.94%
02/26/2023,14.94,15.1,15.1,14.6,27.58K,0.67%
02/23/2023,14.84,14.51,15.0,14.15,51.85K,2.06%
02/22/2023,14.54,14.75,15.0,14.46,39.95K,-1.22%
02/21/2023,14.72,15.0,15.0,14.6,110.91K,0.41%
02/20/2023,14.66,15.0,15.14,14.6,111.04K,-2.14%
02/19/2023,14.98,15.4,15.65,14.87,74.63K,-2.73%
02/16/2023,15.4,15.7,15.7,15.35,82.78K,-0.58%
02/15/2023,15.49,15.3,16.19,15.3,200.21K,1.37%
02/14/2023,15.28,15.25,15.5,15.13,38.47K,-0.13%
02/13/2023,15.3,15.5,15.79,15.25,71.91K,-1.42%
