Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,0.244,0.243,0.245,0.242,20.96M,0.41%
08/08/2023,0.243,0.244,0.246,0.242,30.47M,-0.41%
08/07/2023,0.244,0.245,0.247,0.243,28.22M,-0.41%
08/06/2023,0.245,0.248,0.249,0.244,33.27M,-1.21%
08/03/2023,0.248,0.246,0.252,0.241,82.28M,0.00%
08/02/2023,0.248,0.242,0.256,0.241,189.76M,3.33%
08/01/2023,0.24,0.235,0.242,0.235,59.49M,2.56%
07/31/2023,0.234,0.236,0.238,0.233,27.30M,-0.85%
07/30/2023,0.236,0.239,0.24,0.235,22.32M,-0.84%
07/27/2023,0.238,0.237,0.239,0.236,14.93M,0.85%
07/26/2023,0.236,0.237,0.24,0.235,15.46M,-0.84%
07/25/2023,0.238,0.242,0.243,0.238,27.54M,-1.65%
07/24/2023,0.242,0.244,0.246,0.239,26.43M,-0.82%
07/19/2023,0.244,0.235,0.247,0.235,154.54M,5.63%
07/18/2023,0.231,0.234,0.235,0.23,14.11M,-0.43%
07/17/2023,0.232,0.234,0.236,0.232,16.36M,-0.43%
07/16/2023,0.233,0.232,0.236,0.231,18.40M,1.30%
07/13/2023,0.23,0.23,0.231,0.228,15.66M,0.44%
07/12/2023,0.229,0.232,0.233,0.227,16.40M,-1.29%
07/11/2023,0.232,0.233,0.234,0.229,17.39M,0.87%
07/10/2023,0.23,0.225,0.23,0.222,26.07M,3.14%
07/09/2023,0.223,0.236,0.238,0.221,30.96M,-5.51%
07/06/2023,0.236,0.243,0.244,0.235,31.35M,-2.88%
07/05/2023,0.243,0.248,0.248,0.24,39.02M,-1.22%
07/04/2023,0.246,0.249,0.252,0.246,42.19M,-0.40%
06/26/2023,0.247,0.248,0.248,0.245,20.14M,0.41%
06/25/2023,0.246,0.248,0.251,0.245,31.54M,-0.81%
06/22/2023,0.248,0.249,0.25,0.245,21.03M,0.00%
06/21/2023,0.248,0.258,0.259,0.246,54.40M,-3.13%
06/20/2023,0.256,0.262,0.262,0.254,61.24M,-1.54%
06/19/2023,0.26,0.273,0.276,0.256,142.80M,-5.11%
06/18/2023,0.274,0.26,0.275,0.254,312.54M,13.69%
06/15/2023,0.241,0.244,0.244,0.241,16.39M,0.00%
06/14/2023,0.241,0.244,0.247,0.24,30.20M,-1.23%
06/13/2023,0.244,0.248,0.249,0.243,33.19M,-1.21%
06/12/2023,0.247,0.248,0.25,0.246,12.27M,-0.40%
06/11/2023,0.248,0.25,0.251,0.246,45.31M,0.40%
06/08/2023,0.247,0.25,0.252,0.247,37.03M,-1.20%
06/07/2023,0.25,0.258,0.258,0.248,68.88M,-1.96%
06/06/2023,0.255,0.256,0.263,0.254,75.11M,0.00%
06/05/2023,0.255,0.248,0.262,0.248,198.80M,4.08%
06/04/2023,0.245,0.247,0.247,0.242,65.84M,1.66%
