Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,117.99,118.4,119.3,117.94,11.71K,-0.12%
08/08/2023,118.13,119.0,120.0,118.03,17.95K,-0.65%
08/07/2023,118.9,120.0,120.95,118.5,19.00K,-0.92%
08/06/2023,120.0,119.0,120.94,118.1,8.14K,1.65%
08/03/2023,118.05,120.0,120.0,117.0,18.57K,-0.44%
08/02/2023,118.57,121.38,121.38,118.23,15.97K,-2.01%
08/01/2023,121.0,120.0,121.0,119.01,78.33K,0.85%
07/31/2023,119.98,119.0,120.99,118.61,6.38K,0.23%
07/30/2023,119.71,119.75,121.35,118.19,23.92K,1.31%
07/27/2023,118.16,119.5,120.4,118.0,40.16K,-1.16%
07/26/2023,119.55,120.5,121.5,119.04,67.30K,-0.97%
07/25/2023,120.72,122.25,122.85,120.0,50.93K,-1.03%
07/24/2023,121.98,122.0,123.5,120.0,16.25K,-1.39%
07/19/2023,123.7,120.61,123.97,120.5,46.33K,2.30%
07/18/2023,120.92,118.0,122.49,118.0,133.92K,2.73%
07/17/2023,117.71,118.0,118.5,117.01,6.99K,0.02%
07/16/2023,117.69,118.89,119.98,117.6,16.98K,-0.25%
07/13/2023,117.99,117.2,118.79,116.7,125.38K,0.90%
07/12/2023,116.94,118.99,118.99,116.3,63.53K,-0.13%
07/11/2023,117.09,120.01,120.99,116.23,122.83K,-1.55%
07/10/2023,118.93,122.0,122.0,116.6,38.66K,-0.02%
07/09/2023,118.95,125.01,126.99,116.2,24.87K,-5.33%
07/06/2023,125.65,127.26,129.0,124.01,390.43K,-1.06%
07/05/2023,126.99,122.51,127.2,122.0,97.57K,3.24%
07/04/2023,123.01,124.0,124.94,122.18,42.08K,0.01%
06/26/2023,123.0,121.66,124.0,120.01,44.57K,-0.46%
06/25/2023,123.57,119.89,125.4,119.44,161.12K,4.47%
06/22/2023,118.28,117.49,119.89,116.0,7.30K,1.78%
06/21/2023,116.21,119.1,119.95,116.0,43.29K,-2.34%
06/20/2023,119.0,119.0,119.99,118.99,23.06K,-0.18%
06/19/2023,119.22,119.15,120.0,117.1,58.74K,0.08%
06/18/2023,119.12,122.87,122.87,118.5,31.58K,-2.34%
06/15/2023,121.98,122.73,123.8,121.84,151.53K,-0.78%
06/14/2023,122.94,123.22,127.0,122.0,88.66K,0.35%
06/13/2023,122.51,121.62,123.98,119.05,182.02K,0.72%
06/12/2023,121.64,120.0,121.69,118.61,28.57K,2.22%
06/11/2023,119.0,119.0,120.8,115.3,127.04K,1.71%
06/08/2023,117.0,117.01,119.0,116.51,41.38K,-0.15%
06/07/2023,117.17,117.99,118.98,116.23,119.57K,0.81%
06/06/2023,116.23,121.0,121.48,116.11,101.65K,-3.94%
06/05/2023,121.0,121.0,121.98,119.11,53.60K,0.83%
06/04/2023,120.0,122.25,125.0,119.93,39.86K,-0.90%
06/01/2023,121.09,120.0,124.44,119.0,72.30K,3.44%
05/31/2023,117.06,125.0,127.0,117.0,179.87K,-6.73%
05/30/2023,125.5,117.0,128.0,117.0,838.57K,9.03%
05/29/2023,115.11,107.49,116.47,107.49,778.16K,7.47%
05/28/2023,107.11,105.0,107.5,104.15,83.27K,2.94%
05/25/2023,104.05,107.0,107.99,104.0,32.48K,-2.44%
05/24/2023,106.65,102.5,107.9,102.1,320.69K,6.55%
05/23/2023,100.09,100.7,101.99,99.0,25.87K,-0.89%
05/22/2023,100.99,101.99,102.0,100.63,31.20K,-0.89%
05/21/2023,101.9,103.0,103.0,101.14,20.85K,-1.07%
05/18/2023,103.0,100.45,103.0,99.5,30.67K,2.41%
05/17/2023,100.58,99.3,102.65,99.3,55.86K,1.29%
05/16/2023,99.3,100.49,100.49,98.2,32.65K,-0.75%
05/15/2023,100.05,101.5,102.0,99.98,14.82K,-0.91%
05/14/2023,100.97,102.15,102.15,100.5,12.11K,0.34%
05/11/2023,100.63,102.79,102.79,100.54,25.33K,-1.60%
05/10/2023,102.27,102.4,102.85,100.11,43.60K,1.04%
05/09/2023,101.22,101.5,103.15,101.0,86.14K,0.22%
05/08/2023,101.0,101.0,101.85,99.5,40.70K,1.86%
05/07/2023,99.16,101.0,101.5,98.75,23.93K,-0.89%
05/03/2023,100.05,102.0,103.5,99.01,35.59K,-2.10%
05/02/2023,102.2,102.0,102.5,100.25,85.00K,0.34%
05/01/2023,101.85,103.0,105.0,101.17,53.35K,-1.38%
04/30/2023,103.27,105.0,106.85,103.0,108.57K,-0.74%
04/27/2023,104.04,102.49,105.98,101.76,125.27K,1.95%
04/26/2023,102.05,102.0,103.47,101.6,59.37K,0.04%
04/19/2023,102.01,102.01,104.4,101.3,155.66K,2.01%
04/18/2023,100.0,96.15,100.25,96.15,67.31K,4.01%
04/13/2023,96.14,97.98,97.98,96.12,46.10K,-1.82%
04/12/2023,97.92,99.5,99.5,97.0,45.05K,0.54%
04/11/2023,97.39,98.0,99.88,97.25,51.18K,0.02%
04/10/2023,97.37,99.8,99.8,97.0,7.14K,-0.41%
04/09/2023,97.77,99.0,99.98,97.5,9.01K,-0.75%
04/06/2023,98.51,99.05,101.0,97.5,68.10K,-0.49%
04/05/2023,99.0,99.2,99.99,98.03,43.10K,-1.01%
04/04/2023,100.01,101.5,101.5,99.0,48.30K,-0.96%
04/03/2023,100.98,96.4,101.97,96.02,249.85K,4.94%
04/02/2023,96.23,96.0,96.5,95.58,12.53K,0.40%
03/30/2023,95.85,96.9,96.9,95.5,26.70K,-0.36%
03/29/2023,96.2,96.06,96.99,95.5,33.34K,0.44%
03/28/2023,95.78,95.0,96.9,93.05,104.34K,1.86%
03/27/2023,94.03,93.0,95.25,91.9,75.04K,1.98%
03/26/2023,92.2,92.5,93.83,91.7,38.77K,0.17%
03/23/2023,92.04,87.53,92.5,87.53,321.48K,5.25%
03/22/2023,87.45,88.78,89.0,87.2,10.52K,-0.78%
03/21/2023,88.14,88.95,89.0,87.13,141.73K,0.70%
03/20/2023,87.53,84.51,89.89,84.51,51.96K,0.51%
03/19/2023,87.09,86.5,88.0,83.46,38.21K,1.22%
