Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,10.93,10.9,11.18,10.85,438.91K,0.00%
08/08/2023,10.93,10.9,11.29,10.9,1.67M,0.09%
08/07/2023,10.92,10.91,11.15,10.9,501.72K,0.09%
08/06/2023,10.91,10.66,11.2,10.46,1.63M,4.00%
08/03/2023,10.49,10.5,10.77,10.4,105.51K,-0.66%
08/02/2023,10.56,10.85,10.85,10.4,312.83K,-1.22%
08/01/2023,10.69,10.76,11.0,10.41,485.19K,-1.84%
07/31/2023,10.89,11.0,11.1,10.7,821.40K,-0.91%
07/30/2023,10.99,10.31,11.0,10.25,828.18K,5.17%
07/27/2023,10.45,10.3,10.5,10.24,43.77K,1.26%
07/26/2023,10.32,10.6,10.7,10.3,76.69K,-1.90%
07/25/2023,10.52,10.75,10.78,10.38,74.28K,-1.22%
07/24/2023,10.65,10.69,10.9,10.57,48.78K,-0.84%
07/19/2023,10.74,10.56,10.9,10.56,607.74K,-0.56%
07/18/2023,10.8,10.25,10.94,10.2,488.68K,4.65%
07/17/2023,10.32,10.34,10.35,10.2,240.54K,0.58%
07/16/2023,10.26,10.33,10.36,10.2,44.40K,-0.77%
07/13/2023,10.34,10.3,10.46,10.23,137.18K,0.19%
07/12/2023,10.32,10.32,10.47,10.13,165.42K,0.29%
07/11/2023,10.29,10.3,10.44,10.11,852.67K,1.28%
07/10/2023,10.16,9.75,10.25,9.6,1.24M,5.83%
07/09/2023,9.6,10.16,10.2,9.5,409.94K,-4.95%
07/06/2023,10.1,10.6,10.67,10.07,673.23K,-3.72%
07/05/2023,10.49,10.87,10.99,10.45,875.87K,-2.96%
07/04/2023,10.81,11.05,11.15,10.8,610.58K,-0.55%
06/26/2023,10.87,11.0,11.0,10.8,487.79K,-1.18%
06/25/2023,11.0,11.0,11.17,10.81,611.90K,0.00%
06/22/2023,11.0,10.85,11.09,10.85,541.69K,1.01%
06/21/2023,10.89,11.09,11.25,10.8,1.28M,-1.63%
06/20/2023,11.07,10.75,11.19,10.7,975.72K,2.69%
06/19/2023,10.78,10.8,10.98,10.62,559.95K,-0.19%
06/18/2023,10.8,10.74,10.93,10.68,737.13K,1.41%
06/15/2023,10.65,11.04,11.19,10.63,1.49M,-3.18%
06/14/2023,11.0,10.67,11.3,10.67,1.13M,3.09%
06/13/2023,10.67,11.02,11.1,10.61,861.87K,-2.91%
06/12/2023,10.99,10.83,11.1,10.83,306.13K,1.85%
06/11/2023,10.79,10.85,10.94,10.7,340.70K,1.03%
06/08/2023,10.68,10.7,10.89,10.51,240.79K,-0.19%
06/07/2023,10.7,11.3,11.3,10.63,1.44M,-2.90%
06/06/2023,11.02,10.7,11.5,10.7,1.52M,2.23%
06/05/2023,10.78,11.15,11.15,10.75,662.40K,-2.00%
06/04/2023,11.0,11.5,11.5,10.92,1.33M,-2.14%
06/01/2023,11.24,11.4,11.64,11.2,1.46M,-0.18%
05/31/2023,11.26,11.01,12.1,11.01,7.17M,2.36%
