Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,2.008,1.999,2.033,1.985,13.48M,0.90%
08/08/2023,1.99,2.017,2.028,1.985,9.11M,-0.70%
08/07/2023,2.004,2.0,2.035,1.994,16.80M,0.70%
08/06/2023,1.99,1.97,2.01,1.95,17.05M,1.53%
08/03/2023,1.96,1.97,1.98,1.93,11.09M,0.00%
08/02/2023,1.96,2.02,2.04,1.94,9.06M,-2.97%
08/01/2023,2.02,2.04,2.05,2.0,7.57M,-0.98%
07/31/2023,2.04,2.03,2.04,2.01,4.91M,0.99%
07/30/2023,2.02,2.01,2.04,1.99,8.82M,1.00%
07/27/2023,2.0,2.01,2.02,1.99,9.04M,0.00%
07/26/2023,2.0,2.02,2.03,1.99,11.78M,-0.50%
07/25/2023,2.01,2.08,2.08,2.0,12.05M,-1.95%
07/24/2023,2.05,2.11,2.12,2.05,10.94M,-1.91%
07/19/2023,2.09,2.12,2.14,2.09,14.38M,-0.95%
07/18/2023,2.11,2.09,2.13,2.08,13.70M,1.93%
07/17/2023,2.07,2.07,2.12,2.06,27.47M,0.98%
07/16/2023,2.05,2.08,2.09,2.03,8.54M,-0.49%
07/13/2023,2.06,2.1,2.12,2.06,8.91M,-1.44%
07/12/2023,2.09,2.12,2.13,2.07,10.40M,-1.42%
07/11/2023,2.12,2.08,2.15,2.03,16.23M,2.42%
07/10/2023,2.07,2.02,2.08,1.99,6.75M,2.48%
07/09/2023,2.02,2.09,2.1,2.0,10.53M,-2.88%
07/06/2023,2.08,2.12,2.13,2.07,9.36M,-0.95%
07/05/2023,2.1,2.12,2.13,2.09,8.73M,0.00%
07/04/2023,2.1,2.13,2.16,2.1,15.49M,-0.94%
06/26/2023,2.12,2.03,2.12,2.02,11.12M,4.95%
06/25/2023,2.02,2.1,2.11,2.02,7.82M,-2.88%
06/22/2023,2.08,2.08,2.09,2.05,8.90M,0.48%
06/21/2023,2.07,2.11,2.13,2.06,20.00M,-1.90%
06/20/2023,2.11,2.14,2.16,2.1,15.38M,-0.47%
06/19/2023,2.12,2.18,2.19,2.1,13.03M,-2.75%
06/18/2023,2.18,2.15,2.2,2.15,9.00M,1.87%
06/15/2023,2.14,2.18,2.2,2.14,18.18M,-1.38%
06/14/2023,2.17,2.23,2.26,2.17,26.54M,-1.81%
06/13/2023,2.21,2.2,2.27,2.18,45.76M,0.00%
06/12/2023,2.21,2.25,2.27,2.19,16.62M,-1.78%
06/11/2023,2.25,2.14,2.25,2.13,51.26M,7.14%
06/08/2023,2.1,2.11,2.14,2.08,21.73M,0.00%
06/07/2023,2.1,2.17,2.21,2.1,30.27M,-2.78%
06/06/2023,2.16,2.14,2.21,2.14,67.47M,2.86%
06/05/2023,2.1,2.13,2.17,2.08,31.48M,-0.94%
06/04/2023,2.12,2.1,2.17,2.09,68.61M,2.42%
06/01/2023,2.07,1.998,2.088,1.995,38.14M,3.66%
05/31/2023,1.997,2.013,2.046,1.99,26.31M,-0.65%
05/30/2023,2.01,1.981,2.029,1.976,32.06M,2.03%
05/29/2023,1.97,1.911,1.974,1.89,20.69M,3.68%
05/28/2023,1.9,1.88,1.914,1.88,8.00M,1.60%
05/25/2023,1.87,1.89,1.917,1.867,9.49M,-0.53%
05/24/2023,1.88,1.85,1.897,1.85,7.16M,1.84%
05/23/2023,1.846,1.84,1.85,1.823,3.94M,0.16%
05/22/2023,1.843,1.85,1.888,1.84,4.25M,0.05%
05/21/2023,1.842,1.86,1.87,1.841,4.80M,-0.70%
05/18/2023,1.855,1.861,1.87,1.804,9.49M,-0.27%
05/17/2023,1.86,1.937,1.937,1.86,8.46M,-3.48%
05/16/2023,1.927,1.94,1.94,1.9,7.30M,-0.41%
05/15/2023,1.935,1.97,2.01,1.926,10.99M,-1.53%
05/14/2023,1.965,1.971,1.983,1.95,4.93M,-0.10%
05/11/2023,1.967,2.002,2.018,1.965,9.17M,-1.45%
05/10/2023,1.996,1.97,1.998,1.931,8.52M,1.32%
05/09/2023,1.97,2.028,2.038,1.97,16.48M,-1.99%
05/08/2023,2.01,1.943,2.012,1.943,16.12M,4.09%
05/07/2023,1.931,1.94,1.948,1.901,7.41M,-0.46%
05/03/2023,1.94,1.96,1.98,1.92,8.28M,-0.51%
05/02/2023,1.95,2.0,2.01,1.94,10.83M,-2.50%
05/01/2023,2.0,2.05,2.07,1.98,12.10M,-1.96%
04/30/2023,2.04,2.07,2.13,2.03,31.86M,-0.49%
04/27/2023,2.05,2.03,2.07,2.02,16.21M,1.99%
04/26/2023,2.01,2.05,2.05,2.0,10.05M,-1.47%
04/19/2023,2.04,2.05,2.09,2.02,13.32M,0.00%
04/18/2023,2.04,2.02,2.06,2.01,6.69M,0.99%
04/13/2023,2.02,1.995,2.03,1.98,11.35M,1.10%
04/12/2023,1.998,2.048,2.05,1.99,10.09M,-1.82%
04/11/2023,2.035,2.049,2.06,2.02,16.50M,0.25%
04/10/2023,2.03,1.945,2.03,1.932,20.35M,5.29%
04/09/2023,1.928,1.939,1.951,1.902,5.82M,-0.05%
04/06/2023,1.929,1.974,1.974,1.922,9.71M,-1.43%
04/05/2023,1.957,2.019,2.025,1.951,16.62M,-2.64%
04/04/2023,2.01,1.964,2.02,1.922,27.07M,3.02%
04/03/2023,1.951,1.89,1.951,1.871,20.36M,4.33%
04/02/2023,1.87,1.83,1.87,1.81,5.67M,2.02%
03/30/2023,1.833,1.872,1.903,1.801,17.51M,-1.72%
03/29/2023,1.865,1.862,1.886,1.85,13.26M,0.43%
03/28/2023,1.857,1.789,1.9,1.78,26.41M,4.03%
03/27/2023,1.785,1.83,1.86,1.75,13.26M,-2.25%
03/26/2023,1.826,1.78,1.845,1.772,13.37M,3.75%
03/23/2023,1.76,1.67,1.76,1.66,10.87M,4.39%
03/22/2023,1.686,1.77,1.779,1.676,7.18M,-2.66%
03/21/2023,1.732,1.698,1.75,1.68,8.78M,3.96%
03/20/2023,1.666,1.611,1.707,1.59,11.96M,2.08%
03/19/2023,1.632,1.71,1.71,1.57,5.46M,-2.28%
03/16/2023,1.67,1.63,1.73,1.53,9.96M,0.60%
03/15/2023,1.66,1.84,1.84,1.61,12.23M,-7.78%
03/14/2023,1.8,1.82,1.83,1.73,10.12M,1.69%
03/13/2023,1.77,1.95,1.97,1.72,9.66M,-9.23%
03/12/2023,1.95,2.02,2.02,1.94,8.16M,-2.99%
03/09/2023,2.01,1.98,2.03,1.98,6.53M,2.03%
03/08/2023,1.97,2.0,2.0,1.95,7.97M,-1.50%
03/07/2023,2.0,2.07,2.07,1.99,7.02M,-2.44%
03/06/2023,2.05,2.09,2.1,2.05,6.13M,-0.49%
03/05/2023,2.06,2.08,2.1,2.05,4.37M,-0.48%
03/02/2023,2.07,2.13,2.14,2.07,7.65M,-1.90%
03/01/2023,2.11,2.04,2.11,2.04,12.31M,3.94%
02/28/2023,2.03,2.07,2.07,2.01,4.67M,-0.98%
02/27/2023,2.05,2.06,2.09,2.04,10.01M,0.00%
02/26/2023,2.05,2.07,2.07,2.04,7.65M,0.49%
02/23/2023,2.04,2.01,2.06,1.96,15.41M,2.00%
02/22/2023,2.0,2.1,2.12,1.97,19.71M,-4.76%
02/21/2023,2.1,2.05,2.11,2.0,15.06M,2.44%
02/20/2023,2.05,2.12,2.14,2.03,11.85M,-3.30%
02/19/2023,2.12,2.18,2.19,2.1,9.85M,-1.85%
02/16/2023,2.16,2.18,2.21,2.15,11.22M,-0.92%
02/15/2023,2.18,2.21,2.23,2.16,22.13M,-0.46%
02/14/2023,2.19,2.13,2.2,2.1,19.19M,3.79%
02/13/2023,2.11,2.16,2.18,2.08,15.34M,-1.40%
02/12/2023,2.14,2.22,2.24,2.12,28.07M,-3.17%
02/09/2023,2.21,2.15,2.22,2.15,10.14M,2.79%
02/08/2023,2.15,2.23,2.24,2.14,21.45M,-3.59%
02/07/2023,2.23,2.33,2.34,2.19,29.30M,-1.76%
02/06/2023,2.27,2.25,2.32,2.22,32.25M,1.34%
02/05/2023,2.24,2.05,2.24,1.97,28.47M,10.34%
02/02/2023,2.03,2.15,2.19,2.0,21.04M,-3.79%
02/01/2023,2.11,2.15,2.15,2.04,14.48M,-0.94%
