Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,22.9,23.3,23.5,22.87,945.88K,-2.14%
08/08/2023,23.4,23.51,23.65,23.2,880.24K,-0.47%
08/07/2023,23.51,23.4,23.68,23.22,1.60M,0.04%
08/06/2023,23.5,22.9,23.6,22.7,1.60M,2.75%
08/03/2023,22.87,22.65,23.0,22.33,958.50K,3.02%
08/02/2023,22.2,22.6,22.66,22.02,510.59K,-1.33%
08/01/2023,22.5,22.75,22.88,22.5,379.38K,-0.88%
07/31/2023,22.7,22.7,23.1,22.6,488.62K,0.44%
07/30/2023,22.6,22.21,22.6,22.0,858.54K,1.76%
07/27/2023,22.21,22.6,22.6,22.2,490.18K,-0.63%
07/26/2023,22.35,22.6,22.73,22.35,552.74K,-1.41%
07/25/2023,22.67,22.81,23.1,22.65,978.89K,-0.57%
07/24/2023,22.8,23.21,23.38,22.75,687.33K,-1.77%
07/19/2023,23.21,23.35,23.5,23.05,775.75K,-0.51%
07/18/2023,23.33,23.5,23.7,23.32,899.90K,-0.51%
07/17/2023,23.45,23.4,23.76,23.3,1.21M,1.08%
07/16/2023,23.2,23.31,23.73,23.16,971.05K,-0.43%
07/13/2023,23.3,22.95,23.39,22.9,1.22M,1.53%
07/12/2023,22.95,23.13,23.4,22.81,1.20M,-0.26%
07/11/2023,23.01,23.1,23.3,22.73,1.55M,-0.39%
07/10/2023,23.1,21.85,23.15,21.6,1.69M,5.96%
07/09/2023,21.8,23.22,23.3,21.8,1.82M,-6.12%
07/06/2023,23.22,23.97,23.97,23.12,1.22M,-2.48%
07/05/2023,23.81,23.12,24.99,23.12,5.05M,3.97%
07/04/2023,22.9,22.22,22.9,22.15,1.38M,3.29%
06/26/2023,22.17,21.8,22.3,21.8,795.18K,1.56%
06/25/2023,21.83,22.0,22.35,21.7,853.40K,-0.73%
06/22/2023,21.99,21.65,21.99,21.13,1.13M,1.71%
06/21/2023,21.62,22.2,22.2,21.13,1.78M,-1.73%
06/20/2023,22.0,22.33,22.45,21.95,1.47M,-1.39%
06/19/2023,22.31,22.69,22.77,22.1,1.25M,-1.63%
06/18/2023,22.68,22.3,22.7,21.86,1.71M,1.70%
06/15/2023,22.3,22.5,22.5,22.12,778.16K,-0.27%
06/14/2023,22.36,22.6,22.81,22.2,1.20M,-0.53%
06/13/2023,22.48,22.8,23.14,22.26,2.64M,-1.40%
06/12/2023,22.8,22.75,23.15,22.43,1.86M,0.44%
06/11/2023,22.7,22.3,23.0,22.3,3.51M,2.90%
06/08/2023,22.06,20.45,22.1,20.4,4.81M,8.51%
06/07/2023,20.33,20.37,20.74,20.1,3.14M,0.64%
06/06/2023,20.2,19.7,20.78,19.53,2.66M,2.54%
06/05/2023,19.7,20.18,20.35,19.61,1.27M,-2.14%
06/04/2023,20.13,20.85,20.95,20.13,1.32M,-2.71%
06/01/2023,20.69,20.8,21.05,20.62,859.12K,-0.58%
05/31/2023,20.81,21.15,21.28,20.81,2.38M,-0.57%
05/30/2023,20.93,20.3,21.11,20.27,3.71M,3.87%
