Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,19.5,19.59,20.0,19.45,2.19M,0.41%
08/08/2023,19.42,19.65,19.88,19.42,837.77K,-0.97%
08/07/2023,19.61,19.2,20.0,19.06,1.90M,1.87%
08/06/2023,19.25,18.5,19.26,18.32,1.68M,4.22%
08/03/2023,18.47,18.6,18.79,18.02,625.25K,-0.27%
08/02/2023,18.52,18.77,18.88,18.52,677.57K,-1.17%
08/01/2023,18.74,18.86,19.09,18.6,795.21K,-0.58%
07/31/2023,18.85,18.7,18.9,18.55,1.07M,0.86%
07/30/2023,18.69,18.3,18.85,18.25,985.45K,2.13%
07/27/2023,18.3,18.8,18.98,18.0,1.99M,-2.61%
07/26/2023,18.79,18.5,18.83,18.47,1.12M,1.57%
07/25/2023,18.5,18.88,19.11,18.3,1.37M,-1.65%
07/24/2023,18.81,19.19,19.2,18.75,1.01M,-1.78%
07/19/2023,19.15,19.5,19.5,19.1,545.98K,-1.54%
07/18/2023,19.45,19.27,19.68,19.27,1.33M,0.99%
07/17/2023,19.26,18.7,19.55,18.65,3.02M,2.99%
07/16/2023,18.7,19.0,19.0,18.65,356.65K,-1.16%
07/13/2023,18.92,18.9,19.15,18.8,1.30M,0.32%
07/12/2023,18.86,18.99,19.02,18.66,907.53K,-0.21%
07/11/2023,18.9,18.96,19.14,18.6,2.89M,1.50%
07/10/2023,18.62,17.97,18.98,17.62,3.30M,4.49%
07/09/2023,17.82,18.7,18.9,17.6,3.98M,-4.50%
07/06/2023,18.66,19.5,19.5,18.65,1.52M,-3.47%
07/05/2023,19.33,19.56,19.9,18.85,3.67M,-0.15%
07/04/2023,19.36,20.4,20.5,19.22,1.83M,-4.96%
06/26/2023,20.37,19.72,20.5,19.72,1.49M,3.40%
06/25/2023,19.7,20.8,21.09,19.5,2.42M,-5.74%
06/22/2023,20.9,20.5,21.17,20.36,5.21M,1.95%
06/21/2023,20.5,20.5,20.9,20.1,2.65M,0.49%
06/20/2023,20.4,20.1,20.86,20.0,5.36M,2.00%
06/19/2023,20.0,19.82,20.4,19.6,7.77M,1.01%
06/18/2023,19.8,19.0,19.84,18.95,3.02M,4.54%
06/15/2023,18.94,19.32,19.45,18.88,2.27M,-1.87%
06/14/2023,19.3,19.3,20.12,19.1,5.02M,0.00%
06/13/2023,19.3,18.65,19.4,18.56,4.09M,3.43%
06/12/2023,18.66,18.89,18.97,18.55,407.07K,-1.22%
06/11/2023,18.89,18.2,19.14,18.2,3.77M,4.36%
06/08/2023,18.1,18.01,18.21,17.8,2.71M,1.12%
06/07/2023,17.9,18.5,18.7,17.85,3.11M,-2.03%
06/06/2023,18.27,18.4,18.8,18.17,2.53M,-0.33%
06/05/2023,18.33,18.7,18.89,18.15,1.28M,-1.45%
06/04/2023,18.6,18.9,19.09,18.5,1.14M,-1.12%
06/01/2023,18.81,19.3,19.47,18.7,2.72M,-2.54%
05/31/2023,19.3,18.0,19.9,18.0,13.17M,8.55%
05/30/2023,17.78,17.22,17.79,17.21,3.80M,3.25%
05/29/2023,17.22,16.9,17.3,16.89,2.39M,2.14%
05/28/2023,16.86,16.69,16.97,16.52,1.73M,2.68%
05/25/2023,16.42,16.27,16.66,16.2,1.89M,0.92%
05/24/2023,16.27,16.25,16.4,16.0,1.83M,0.74%
05/23/2023,16.15,16.05,16.4,15.7,1.88M,0.56%
05/22/2023,16.06,16.5,16.83,15.89,2.44M,-2.61%
05/21/2023,16.49,16.65,16.85,16.31,599.63K,-0.54%
05/18/2023,16.58,16.93,16.96,16.07,1.64M,-2.01%
05/17/2023,16.92,17.3,17.38,16.9,2.22M,-3.75%
05/16/2023,17.58,17.39,17.6,17.11,3.59M,1.03%
05/15/2023,17.4,17.8,17.84,17.12,2.70M,-1.69%
05/14/2023,17.7,17.18,17.8,16.85,3.71M,3.51%
05/11/2023,17.1,17.53,17.85,16.95,2.45M,-2.29%
05/10/2023,17.5,17.23,17.54,16.75,2.06M,1.74%
05/09/2023,17.2,17.85,17.93,17.2,3.01M,-2.55%
05/08/2023,17.65,17.0,17.7,17.0,3.35M,4.62%
05/07/2023,16.87,17.0,17.25,16.41,2.24M,-1.29%
05/03/2023,17.09,17.17,17.52,16.96,1.96M,0.53%
05/02/2023,17.0,17.35,17.35,16.75,2.19M,-0.47%
05/01/2023,17.08,17.7,17.9,16.92,5.25M,-3.56%
04/30/2023,17.71,18.2,18.64,17.62,3.89M,-2.91%
04/27/2023,18.24,17.5,18.25,17.35,6.49M,4.41%
04/26/2023,17.47,17.35,17.62,17.03,2.79M,1.98%
04/19/2023,17.13,17.6,17.6,17.01,3.12M,-2.00%
04/18/2023,17.48,17.53,17.75,17.4,6.37M,0.17%
04/13/2023,17.45,17.42,17.8,17.42,4.37M,0.23%
04/12/2023,17.41,17.28,17.75,17.12,7.54M,1.34%
04/11/2023,17.18,17.1,17.27,16.91,3.15M,1.12%
04/10/2023,16.99,16.15,17.05,16.15,8.05M,5.33%
04/09/2023,16.13,15.86,16.15,15.81,1.72M,1.90%
04/06/2023,15.83,15.74,16.06,15.64,2.52M,0.38%
